PoloniexChartData [date=2015-04-18 00:00:00 GMT, high=1.1E-7, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=0.29426165, quoteVolume=3177572.7105273, weightedAverage=9.0E-8]
PoloniexChartData [date=2015-04-19 00:00:00 GMT, high=1.1E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=0.85965434, quoteVolume=8771805.8816607, weightedAverage=9.0E-8]
PoloniexChartData [date=2015-04-20 00:00:00 GMT, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=2.45323195, quoteVolume=23042596.419924, weightedAverage=1.0E-7]
PoloniexChartData [date=2015-04-21 00:00:00 GMT, high=1.3E-7, low=1.0E-7, open=1.0E-7, close=1.1E-7, volume=9.53929597, quoteVolume=80583882.938778, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-04-22 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=4.96969909, quoteVolume=40516077.974066, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-04-23 00:00:00 GMT, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.0E-7, volume=0.8295662, quoteVolume=7361895.8041351, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-04-24 00:00:00 GMT, high=1.2E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=1.90745775, quoteVolume=18433208.992576, weightedAverage=1.0E-7]
PoloniexChartData [date=2015-04-25 00:00:00 GMT, high=1.2E-7, low=9.0E-8, open=9.0E-8, close=1.2E-7, volume=5.16176891, quoteVolume=43468955.210956, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-04-26 00:00:00 GMT, high=1.3E-7, low=1.0E-7, open=1.2E-7, close=1.2E-7, volume=5.28627941, quoteVolume=45044833.148572, weightedAverage=1.1E-7]
PoloniexChartData [date=2015-04-27 00:00:00 GMT, high=1.4E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=5.82648371, quoteVolume=47022257.800903, weightedAverage=1.2E-7]
PoloniexChartData [date=2015-04-28 00:00:00 GMT, high=1.3E-7, low=1.1E-7, open=1.1E-7, close=1.2E-7, volume=2.78125357, quoteVolume=23289202.223742, weightedAverage=1.1E-7]
