PoloniexChartData [date=2015-04-20 00:00:00 GMT, high=2.5E-7, low=2.4E-7, open=2.5E-7, close=2.4E-7, volume=0.0078296, quoteVolume=31550.50443129, weightedAverage=2.4E-7]
PoloniexChartData [date=2015-04-21 00:00:00 GMT, high=2.4E-7, low=2.2E-7, open=2.4E-7, close=2.2E-7, volume=0.00819978, quoteVolume=36150.019, weightedAverage=2.2E-7]
PoloniexChartData [date=2015-04-22 00:00:00 GMT, high=2.8E-7, low=2.2E-7, open=2.2E-7, close=2.3E-7, volume=0.00743849, quoteVolume=32680.83084783, weightedAverage=2.2E-7]
PoloniexChartData [date=2015-04-23 00:00:00 GMT, high=2.2E-7, low=2.2E-7, open=2.2E-7, close=2.2E-7, volume=0.00267655, quoteVolume=12166.17615217, weightedAverage=2.2E-7]
PoloniexChartData [date=2015-04-24 00:00:00 GMT, high=2.3E-7, low=2.2E-7, open=2.2E-7, close=2.3E-7, volume=0.01146799, quoteVolume=51249.994, weightedAverage=2.2E-7]
PoloniexChartData [date=2015-04-25 00:00:00 GMT, high=2.3E-7, low=2.2E-7, open=2.3E-7, close=2.2E-7, volume=0.01056316, quoteVolume=47737.66399813, weightedAverage=2.2E-7]
PoloniexChartData [date=2015-04-26 00:00:00 GMT, high=2.2E-7, low=2.2E-7, open=2.2E-7, close=2.2E-7, volume=0.02209994, quoteVolume=100454.29576334, weightedAverage=2.2E-7]
PoloniexChartData [date=2015-04-27 00:00:00 GMT, high=2.2E-7, low=2.1E-7, open=2.2E-7, close=2.1E-7, volume=0.00762149, quoteVolume=35599.994, weightedAverage=2.1E-7]
PoloniexChartData [date=2015-04-28 00:00:00 GMT, high=2.1E-7, low=2.1E-7, open=2.1E-7, close=2.1E-7, volume=0.00706649, quoteVolume=33649.998, weightedAverage=2.1E-7]
PoloniexChartData [date=2015-04-29 00:00:00 GMT, high=2.3E-7, low=2.1E-7, open=2.1E-7, close=2.3E-7, volume=0.00957708, quoteVolume=44918.25614733, weightedAverage=2.1E-7]
PoloniexChartData [date=2015-04-30 00:00:00 GMT, high=2.1E-7, low=2.1E-7, open=2.1E-7, close=2.1E-7, volume=0.00700349, quoteVolume=33349.988, weightedAverage=2.1E-7]
PoloniexChartData [date=2015-05-01 00:00:00 GMT, high=2.1E-7, low=2.1E-7, open=2.1E-7, close=2.1E-7, volume=0.00793474, quoteVolume=37784.50035012, weightedAverage=2.1E-7]
PoloniexChartData [date=2015-05-02 00:00:00 GMT, high=2.1E-7, low=2.0E-7, open=2.1E-7, close=2.1E-7, volume=0.00772082, quoteVolume=37129.32778949, weightedAverage=2.0E-7]
PoloniexChartData [date=2015-05-03 00:00:00 GMT, high=2.4E-7, low=2.0E-7, open=2.1E-7, close=2.1E-7, volume=0.02176926, quoteVolume=97465.73445941, weightedAverage=2.2E-7]
PoloniexChartData [date=2015-05-04 00:00:00 GMT, high=2.1E-7, low=2.1E-7, open=2.1E-7, close=2.1E-7, volume=0.00654149, quoteVolume=31149.987, weightedAverage=2.1E-7]
PoloniexChartData [date=2015-05-05 00:00:00 GMT, high=2.1E-7, low=2.0E-7, open=2.1E-7, close=2.0E-7, volume=0.00891031, quoteVolume=43228.778014, weightedAverage=2.0E-7]
PoloniexChartData [date=2015-05-06 00:00:00 GMT, high=2.0E-7, low=1.8E-7, open=2.0E-7, close=1.8E-7, volume=0.00641049, quoteVolume=33299.986, weightedAverage=1.9E-7]
PoloniexChartData [date=2015-05-07 00:00:00 GMT, high=1.8E-7, low=1.6E-7, open=1.8E-7, close=1.6E-7, volume=0.00510305, quoteVolume=29900.001, weightedAverage=1.7E-7]
PoloniexChartData [date=2015-05-08 00:00:00 GMT, high=1.6E-7, low=1.6E-7, open=1.6E-7, close=1.6E-7, volume=0.000464, quoteVolume=2900, weightedAverage=1.6E-7]
PoloniexChartData [date=2015-05-09 00:00:00 GMT, high=2.3E-7, low=1.7E-7, open=1.9E-7, close=1.8E-7, volume=0.01409356, quoteVolume=70199.76207098, weightedAverage=2.0E-7]
PoloniexChartData [date=2015-05-10 00:00:00 GMT, high=1.8E-7, low=1.8E-7, open=1.8E-7, close=1.8E-7, volume=0, quoteVolume=0, weightedAverage=1.8E-7]
PoloniexChartData [date=2015-05-11 00:00:00 GMT, high=1.8E-7, low=1.8E-7, open=1.8E-7, close=1.8E-7, volume=0, quoteVolume=0, weightedAverage=1.8E-7]
PoloniexChartData [date=2015-05-12 00:00:00 GMT, high=1.7E-7, low=1.7E-7, open=1.7E-7, close=1.7E-7, volume=0.00141027, quoteVolume=8295.7254376, weightedAverage=1.7E-7]
PoloniexChartData [date=2015-05-13 00:00:00 GMT, high=1.7E-7, low=1.7E-7, open=1.7E-7, close=1.7E-7, volume=0, quoteVolume=0, weightedAverage=1.7E-7]
PoloniexChartData [date=2015-05-14 00:00:00 GMT, high=1.9E-7, low=1.9E-7, open=1.9E-7, close=1.9E-7, volume=0.00080946, quoteVolume=4260.3520435, weightedAverage=1.9E-7]
PoloniexChartData [date=2015-05-15 00:00:00 GMT, high=1.9E-7, low=1.9E-7, open=1.9E-7, close=1.9E-7, volume=0, quoteVolume=0, weightedAverage=1.9E-7]
PoloniexChartData [date=2015-05-16 00:00:00 GMT, high=1.9E-7, low=1.9E-7, open=1.9E-7, close=1.9E-7, volume=0, quoteVolume=0, weightedAverage=1.9E-7]
PoloniexChartData [date=2015-05-17 00:00:00 GMT, high=1.9E-7, low=1.9E-7, open=1.9E-7, close=1.9E-7, volume=0, quoteVolume=0, weightedAverage=1.9E-7]
PoloniexChartData [date=2015-05-18 00:00:00 GMT, high=3.5E-7, low=2.1E-7, open=2.1E-7, close=3.5E-7, volume=0.14224037, quoteVolume=475040.89493229, weightedAverage=2.9E-7]
PoloniexChartData [date=2015-05-19 00:00:00 GMT, high=3.6E-7, low=3.5E-7, open=3.5E-7, close=3.5E-7, volume=0.05907694, quoteVolume=165811.12553451, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-05-20 00:00:00 GMT, high=3.6E-7, low=3.6E-7, open=3.6E-7, close=3.6E-7, volume=0.00203876, quoteVolume=5663.23755698, weightedAverage=3.6E-7]
PoloniexChartData [date=2015-05-21 00:00:00 GMT, high=3.6E-7, low=3.5E-7, open=3.6E-7, close=3.6E-7, volume=0.01541435, quoteVolume=43078.85093092, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-05-22 00:00:00 GMT, high=3.6E-7, low=3.5E-7, open=3.6E-7, close=3.6E-7, volume=0.01394664, quoteVolume=39342.17102572, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-05-23 00:00:00 GMT, high=3.6E-7, low=3.5E-7, open=3.6E-7, close=3.5E-7, volume=0.01145501, quoteVolume=31833.37111111, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-05-24 00:00:00 GMT, high=3.7E-7, low=3.6E-7, open=3.6E-7, close=3.6E-7, volume=0.014463, quoteVolume=40166.69444444, weightedAverage=3.6E-7]
PoloniexChartData [date=2015-05-25 00:00:00 GMT, high=3.6E-7, low=3.5E-7, open=3.5E-7, close=3.6E-7, volume=0.01560714, quoteVolume=43480.76886261, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-05-26 00:00:00 GMT, high=3.6E-7, low=3.5E-7, open=3.5E-7, close=3.6E-7, volume=0.01570506, quoteVolume=43854.52324214, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-05-27 00:00:00 GMT, high=3.6E-7, low=3.6E-7, open=3.6E-7, close=3.6E-7, volume=0.00862253, quoteVolume=23951.48202141, weightedAverage=3.6E-7]
PoloniexChartData [date=2015-05-28 00:00:00 GMT, high=3.6E-7, low=3.6E-7, open=3.6E-7, close=3.6E-7, volume=0.014562, quoteVolume=40450.00183906, weightedAverage=3.6E-7]
PoloniexChartData [date=2015-05-29 00:00:00 GMT, high=3.5E-7, low=3.5E-7, open=3.5E-7, close=3.5E-7, volume=0.02788953, quoteVolume=79684.38423579, weightedAverage=3.5E-7]
PoloniexChartData [date=2015-05-30 00:00:00 GMT, high=3.5E-7, low=3.0E-7, open=3.5E-7, close=3.0E-7, volume=0.01055581, quoteVolume=32899.944, weightedAverage=3.2E-7]
PoloniexChartData [date=2015-05-31 00:00:00 GMT, high=4.5E-7, low=3.0E-7, open=3.0E-7, close=3.5E-7, volume=0.12912827, quoteVolume=332641.99, weightedAverage=3.8E-7]
PoloniexChartData [date=2015-06-01 00:00:00 GMT, high=4.6E-7, low=3.5E-7, open=3.5E-7, close=4.6E-7, volume=0.28251733, quoteVolume=693172.00870773, weightedAverage=4.0E-7]
PoloniexChartData [date=2015-06-02 00:00:00 GMT, high=4.4E-7, low=3.8E-7, open=4.3E-7, close=3.8E-7, volume=0.10789931, quoteVolume=273740.45190727, weightedAverage=3.9E-7]
PoloniexChartData [date=2015-06-03 00:00:00 GMT, high=5.6E-7, low=3.8E-7, open=3.9E-7, close=5.6E-7, volume=0.1719539, quoteVolume=399510.55292437, weightedAverage=4.3E-7]
PoloniexChartData [date=2015-06-04 00:00:00 GMT, high=5.5E-7, low=3.8E-7, open=5.2E-7, close=3.8E-7, volume=0.45340187, quoteVolume=963339.45206785, weightedAverage=4.7E-7]
PoloniexChartData [date=2015-06-05 00:00:00 GMT, high=5.2E-7, low=3.6E-7, open=3.8E-7, close=5.2E-7, volume=0.18444688, quoteVolume=424963.46498291, weightedAverage=4.3E-7]
PoloniexChartData [date=2015-06-06 00:00:00 GMT, high=5.8E-7, low=3.9E-7, open=4.0E-7, close=4.6E-7, volume=0.05384645, quoteVolume=109856.81374123, weightedAverage=4.9E-7]
PoloniexChartData [date=2015-06-07 00:00:00 GMT, high=5.0E-7, low=4.3E-7, open=4.6E-7, close=4.3E-7, volume=0.01833639, quoteVolume=39591.61779387, weightedAverage=4.6E-7]
