PoloniexChartData [date=2016-04-20 00:00:00 GMT, high=9.9E-7, low=8.1E-7, open=9.8E-7, close=8.7E-7, volume=276.45271258, quoteVolume=307898017.67972, weightedAverage=8.9E-7]
PoloniexChartData [date=2016-04-21 00:00:00 GMT, high=8.9E-7, low=8.2E-7, open=8.8E-7, close=8.3E-7, volume=90.40294248, quoteVolume=105578106.70343, weightedAverage=8.5E-7]
PoloniexChartData [date=2016-04-22 00:00:00 GMT, high=8.6E-7, low=7.7E-7, open=8.3E-7, close=8.1E-7, volume=61.84377668, quoteVolume=76529626.063361, weightedAverage=8.0E-7]
PoloniexChartData [date=2016-04-23 00:00:00 GMT, high=8.2E-7, low=7.7E-7, open=8.1E-7, close=7.8E-7, volume=30.70091055, quoteVolume=38819372.656561, weightedAverage=7.9E-7]
PoloniexChartData [date=2016-04-24 00:00:00 GMT, high=7.9E-7, low=7.1E-7, open=7.8E-7, close=7.2E-7, volume=72.7090718, quoteVolume=98054324.140159, weightedAverage=7.4E-7]
PoloniexChartData [date=2016-04-25 00:00:00 GMT, high=7.4E-7, low=6.0E-7, open=7.2E-7, close=6.1E-7, volume=63.21302304, quoteVolume=92785853.922332, weightedAverage=6.8E-7]
PoloniexChartData [date=2016-04-26 00:00:00 GMT, high=6.5E-7, low=5.5E-7, open=6.1E-7, close=5.7E-7, volume=53.57793681, quoteVolume=89407027.064817, weightedAverage=5.9E-7]
PoloniexChartData [date=2016-04-27 00:00:00 GMT, high=7.2E-7, low=5.6E-7, open=5.7E-7, close=6.7E-7, volume=66.8003832, quoteVolume=101800171.39113, weightedAverage=6.5E-7]
PoloniexChartData [date=2016-04-28 00:00:00 GMT, high=7.5E-7, low=6.4E-7, open=6.8E-7, close=6.7E-7, volume=73.57015981, quoteVolume=106231533.02185, weightedAverage=6.9E-7]
PoloniexChartData [date=2016-04-29 00:00:00 GMT, high=7.0E-7, low=6.3E-7, open=6.8E-7, close=6.5E-7, volume=39.19864512, quoteVolume=60249272.407849, weightedAverage=6.5E-7]
PoloniexChartData [date=2016-04-30 00:00:00 GMT, high=7.0E-7, low=6.4E-7, open=6.5E-7, close=6.6E-7, volume=44.20395776, quoteVolume=66012643.266364, weightedAverage=6.6E-7]
PoloniexChartData [date=2016-05-01 00:00:00 GMT, high=6.7E-7, low=6.2E-7, open=6.6E-7, close=6.4E-7, volume=47.05239007, quoteVolume=73552499.082802, weightedAverage=6.3E-7]
