PoloniexChartData [date=Mon Apr 25 20:00:00 EDT 2016, high=5.1E-7, low=4.8E-7, open=4.9E-7, close=4.9E-7, volume=66.44613288, quoteVolume=133375404.943, weightedAverage=4.9E-7]
PoloniexChartData [date=Tue Apr 26 20:00:00 EDT 2016, high=5.1E-7, low=4.8E-7, open=4.9E-7, close=5.0E-7, volume=52.8276058, quoteVolume=107129081.01694, weightedAverage=4.9E-7]
PoloniexChartData [date=Wed Apr 27 20:00:00 EDT 2016, high=5.3E-7, low=5.0E-7, open=5.0E-7, close=5.0E-7, volume=53.93956775, quoteVolume=104783370.57481, weightedAverage=5.1E-7]
PoloniexChartData [date=Thu Apr 28 20:00:00 EDT 2016, high=5.1E-7, low=5.0E-7, open=5.1E-7, close=5.0E-7, volume=29.11165063, quoteVolume=57915044.325314, weightedAverage=5.0E-7]
PoloniexChartData [date=Fri Apr 29 20:00:00 EDT 2016, high=5.2E-7, low=5.0E-7, open=5.0E-7, close=5.0E-7, volume=41.7847662, quoteVolume=82802541.153714, weightedAverage=5.0E-7]
PoloniexChartData [date=Sat Apr 30 20:00:00 EDT 2016, high=5.2E-7, low=5.0E-7, open=5.0E-7, close=5.1E-7, volume=36.14573044, quoteVolume=71785094.093518, weightedAverage=5.0E-7]
PoloniexChartData [date=Sun May 01 20:00:00 EDT 2016, high=5.3E-7, low=5.0E-7, open=5.0E-7, close=5.1E-7, volume=79.83582574, quoteVolume=156197896.20084, weightedAverage=5.1E-7]
PoloniexChartData [date=Mon May 02 20:00:00 EDT 2016, high=5.3E-7, low=5.0E-7, open=5.2E-7, close=5.1E-7, volume=56.29427459, quoteVolume=110767790.12304, weightedAverage=5.0E-7]
PoloniexChartData [date=Tue May 03 20:00:00 EDT 2016, high=5.1E-7, low=5.0E-7, open=5.0E-7, close=5.1E-7, volume=22.00106011, quoteVolume=43592544.576767, weightedAverage=5.0E-7]
PoloniexChartData [date=Wed May 04 20:00:00 EDT 2016, high=5.1E-7, low=4.8E-7, open=5.1E-7, close=4.9E-7, volume=87.82244184, quoteVolume=178330228.80309, weightedAverage=4.9E-7]
PoloniexChartData [date=Thu May 05 20:00:00 EDT 2016, high=5.0E-7, low=4.8E-7, open=4.9E-7, close=5.0E-7, volume=32.02789549, quoteVolume=65061820.61248, weightedAverage=4.9E-7]
PoloniexChartData [date=Fri May 06 20:00:00 EDT 2016, high=5.0E-7, low=4.8E-7, open=4.8E-7, close=4.9E-7, volume=40.97553304, quoteVolume=84243573.384673, weightedAverage=4.8E-7]
PoloniexChartData [date=Sat May 07 20:00:00 EDT 2016, high=4.9E-7, low=4.8E-7, open=4.8E-7, close=4.9E-7, volume=19.45662462, quoteVolume=40210681.914089, weightedAverage=4.8E-7]
PoloniexChartData [date=Sun May 08 20:00:00 EDT 2016, high=5.0E-7, low=4.8E-7, open=4.9E-7, close=4.8E-7, volume=54.1172666, quoteVolume=111981299.97414, weightedAverage=4.8E-7]
PoloniexChartData [date=Mon May 09 20:00:00 EDT 2016, high=5.0E-7, low=4.8E-7, open=4.8E-7, close=4.9E-7, volume=47.78676519, quoteVolume=97483949.505915, weightedAverage=4.9E-7]
PoloniexChartData [date=Tue May 10 20:00:00 EDT 2016, high=5.0E-7, low=4.8E-7, open=4.9E-7, close=4.9E-7, volume=24.92728255, quoteVolume=50717557.182259, weightedAverage=4.9E-7]
