PoloniexChartData [date=Mon Apr 25 20:00:00 EDT 2016, high=5.4E-7, low=4.6E-7, open=5.3E-7, close=5.4E-7, volume=0.39759597, quoteVolume=799241.72002677, weightedAverage=4.9E-7]
PoloniexChartData [date=Tue Apr 26 20:00:00 EDT 2016, high=5.7E-7, low=4.5E-7, open=5.4E-7, close=5.3E-7, volume=0.41193801, quoteVolume=786286.51194206, weightedAverage=5.2E-7]
PoloniexChartData [date=Wed Apr 27 20:00:00 EDT 2016, high=5.3E-7, low=5.2E-7, open=5.3E-7, close=5.3E-7, volume=0.02792784, quoteVolume=52797.61113266, weightedAverage=5.2E-7]
PoloniexChartData [date=Thu Apr 28 20:00:00 EDT 2016, high=5.3E-7, low=4.9E-7, open=5.3E-7, close=5.0E-7, volume=0.05920946, quoteVolume=116413.90725296, weightedAverage=5.0E-7]
PoloniexChartData [date=Fri Apr 29 20:00:00 EDT 2016, high=5.4E-7, low=4.8E-7, open=5.0E-7, close=4.8E-7, volume=0.28273658, quoteVolume=559371.8273939, weightedAverage=5.0E-7]
PoloniexChartData [date=Sat Apr 30 20:00:00 EDT 2016, high=5.1E-7, low=4.7E-7, open=4.8E-7, close=4.9E-7, volume=0.08773003, quoteVolume=182144.92452573, weightedAverage=4.8E-7]
PoloniexChartData [date=Sun May 01 20:00:00 EDT 2016, high=5.7E-7, low=4.8E-7, open=5.0E-7, close=4.9E-7, volume=0.20799438, quoteVolume=389111.88697612, weightedAverage=5.3E-7]
PoloniexChartData [date=Mon May 02 20:00:00 EDT 2016, high=6.5E-7, low=4.9E-7, open=4.9E-7, close=6.0E-7, volume=0.53878522, quoteVolume=926420.77116484, weightedAverage=5.8E-7]
PoloniexChartData [date=Tue May 03 20:00:00 EDT 2016, high=6.7E-7, low=5.9E-7, open=6.0E-7, close=6.1E-7, volume=0.1928159, quoteVolume=300902.32308392, weightedAverage=6.4E-7]
PoloniexChartData [date=Wed May 04 20:00:00 EDT 2016, high=6.8E-7, low=6.1E-7, open=6.1E-7, close=6.4E-7, volume=0.16669693, quoteVolume=253402.75107578, weightedAverage=6.5E-7]
PoloniexChartData [date=Thu May 05 20:00:00 EDT 2016, high=6.6E-7, low=5.6E-7, open=6.4E-7, close=5.6E-7, volume=0.39568119, quoteVolume=642829.66528066, weightedAverage=6.1E-7]
PoloniexChartData [date=Fri May 06 20:00:00 EDT 2016, high=6.3E-7, low=5.7E-7, open=6.2E-7, close=5.9E-7, volume=0.04769811, quoteVolume=76959.74884392, weightedAverage=6.1E-7]
PoloniexChartData [date=Sat May 07 20:00:00 EDT 2016, high=6.0E-7, low=5.8E-7, open=5.8E-7, close=6.0E-7, volume=0.0787591, quoteVolume=133653.3177559, weightedAverage=5.8E-7]
PoloniexChartData [date=Sun May 08 20:00:00 EDT 2016, high=9.4E-7, low=5.9E-7, open=5.9E-7, close=6.7E-7, volume=5.54114957, quoteVolume=6859250.9057992, weightedAverage=8.0E-7]
PoloniexChartData [date=Mon May 09 20:00:00 EDT 2016, high=7.3E-7, low=6.6E-7, open=7.0E-7, close=6.9E-7, volume=0.04363067, quoteVolume=63018.09500212, weightedAverage=6.9E-7]
PoloniexChartData [date=Tue May 10 20:00:00 EDT 2016, high=6.8E-7, low=6.6E-7, open=6.8E-7, close=6.7E-7, volume=0.1086495, quoteVolume=164289.97966277, weightedAverage=6.6E-7]
PoloniexChartData [date=Wed May 11 20:00:00 EDT 2016, high=8.0E-7, low=6.7E-7, open=6.7E-7, close=7.5E-7, volume=0.61997875, quoteVolume=837733.51451892, weightedAverage=7.4E-7]
PoloniexChartData [date=Thu May 12 20:00:00 EDT 2016, high=7.6E-7, low=6.5E-7, open=7.5E-7, close=7.0E-7, volume=0.56878106, quoteVolume=848989.18484334, weightedAverage=6.6E-7]
PoloniexChartData [date=Fri May 13 20:00:00 EDT 2016, high=6.9E-7, low=6.0E-7, open=6.8E-7, close=6.2E-7, volume=0.19519746, quoteVolume=314930.2465334, weightedAverage=6.1E-7]
PoloniexChartData [date=Sat May 14 20:00:00 EDT 2016, high=6.4E-7, low=6.1E-7, open=6.3E-7, close=6.3E-7, volume=0.02879746, quoteVolume=45539.94452794, weightedAverage=6.3E-7]
PoloniexChartData [date=Sun May 15 20:00:00 EDT 2016, high=6.4E-7, low=6.1E-7, open=6.4E-7, close=6.1E-7, volume=0.02583728, quoteVolume=41861.09263565, weightedAverage=6.1E-7]
PoloniexChartData [date=Mon May 16 20:00:00 EDT 2016, high=6.6E-7, low=5.8E-7, open=6.0E-7, close=5.8E-7, volume=0.19736396, quoteVolume=324213.45682761, weightedAverage=6.0E-7]
PoloniexChartData [date=Tue May 17 20:00:00 EDT 2016, high=6.5E-7, low=5.5E-7, open=5.8E-7, close=6.5E-7, volume=0.64654872, quoteVolume=1097714.20969, weightedAverage=5.8E-7]
PoloniexChartData [date=Wed May 18 20:00:00 EDT 2016, high=6.6E-7, low=5.8E-7, open=6.6E-7, close=6.4E-7, volume=0.14669128, quoteVolume=241921.25475862, weightedAverage=6.0E-7]
PoloniexChartData [date=Thu May 19 20:00:00 EDT 2016, high=6.3E-7, low=5.7E-7, open=6.3E-7, close=6.2E-7, volume=0.05852519, quoteVolume=97151.95139606, weightedAverage=6.0E-7]
PoloniexChartData [date=Fri May 20 20:00:00 EDT 2016, high=6.3E-7, low=6.2E-7, open=6.2E-7, close=6.2E-7, volume=0.03549741, quoteVolume=57065.4260419, weightedAverage=6.2E-7]
PoloniexChartData [date=Sat May 21 20:00:00 EDT 2016, high=6.3E-7, low=5.8E-7, open=6.2E-7, close=5.9E-7, volume=0.09588235, quoteVolume=160694.86588396, weightedAverage=5.9E-7]
PoloniexChartData [date=Sun May 22 20:00:00 EDT 2016, high=6.8E-7, low=5.7E-7, open=5.8E-7, close=6.2E-7, volume=0.68561658, quoteVolume=1091320.2905515, weightedAverage=6.2E-7]
PoloniexChartData [date=Mon May 23 20:00:00 EDT 2016, high=6.2E-7, low=5.6E-7, open=6.2E-7, close=5.8E-7, volume=0.07999322, quoteVolume=134349.42238887, weightedAverage=5.9E-7]
PoloniexChartData [date=Tue May 24 20:00:00 EDT 2016, high=5.7E-7, low=5.5E-7, open=5.7E-7, close=5.6E-7, volume=0.02692608, quoteVolume=48168.83799505, weightedAverage=5.5E-7]
PoloniexChartData [date=Wed May 25 20:00:00 EDT 2016, high=5.9E-7, low=5.4E-7, open=5.6E-7, close=5.5E-7, volume=0.0951689, quoteVolume=173253.18283983, weightedAverage=5.4E-7]
PoloniexChartData [date=Thu May 26 20:00:00 EDT 2016, high=5.4E-7, low=5.0E-7, open=5.4E-7, close=5.2E-7, volume=1.08124873, quoteVolume=2110516.0202262, weightedAverage=5.1E-7]
PoloniexChartData [date=Fri May 27 20:00:00 EDT 2016, high=5.4E-7, low=4.1E-7, open=5.2E-7, close=5.1E-7, volume=1.63633524, quoteVolume=3355110.3592891, weightedAverage=4.8E-7]
PoloniexChartData [date=Sat May 28 20:00:00 EDT 2016, high=4.9E-7, low=4.4E-7, open=4.7E-7, close=4.6E-7, volume=0.06678933, quoteVolume=141509.91577047, weightedAverage=4.7E-7]
PoloniexChartData [date=Sun May 29 20:00:00 EDT 2016, high=4.9E-7, low=4.6E-7, open=4.6E-7, close=4.9E-7, volume=0.14492524, quoteVolume=305374.95150951, weightedAverage=4.7E-7]
PoloniexChartData [date=Mon May 30 20:00:00 EDT 2016, high=5.4E-7, low=4.9E-7, open=4.9E-7, close=5.1E-7, volume=0.2481542, quoteVolume=476452.18116423, weightedAverage=5.2E-7]
PoloniexChartData [date=Tue May 31 20:00:00 EDT 2016, high=5.3E-7, low=4.9E-7, open=5.1E-7, close=5.3E-7, volume=0.06242544, quoteVolume=123932.01840085, weightedAverage=5.0E-7]
PoloniexChartData [date=Wed Jun 01 20:00:00 EDT 2016, high=5.4E-7, low=5.2E-7, open=5.4E-7, close=5.2E-7, volume=0.03812661, quoteVolume=70731.80839157, weightedAverage=5.3E-7]
PoloniexChartData [date=Thu Jun 02 20:00:00 EDT 2016, high=5.2E-7, low=4.5E-7, open=5.1E-7, close=4.6E-7, volume=0.14357475, quoteVolume=306532.71731095, weightedAverage=4.6E-7]
PoloniexChartData [date=Fri Jun 03 20:00:00 EDT 2016, high=4.8E-7, low=4.6E-7, open=4.7E-7, close=4.8E-7, volume=0.05079946, quoteVolume=109260.05721693, weightedAverage=4.6E-7]
PoloniexChartData [date=Sat Jun 04 20:00:00 EDT 2016, high=5.1E-7, low=4.8E-7, open=4.8E-7, close=4.9E-7, volume=0.08872853, quoteVolume=175793.62334111, weightedAverage=5.0E-7]
PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=4.9E-7, low=4.6E-7, open=4.8E-7, close=4.6E-7, volume=0.07742744, quoteVolume=166145.03630204, weightedAverage=4.6E-7]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=5.4E-7, low=4.2E-7, open=4.6E-7, close=5.4E-7, volume=0.6572601, quoteVolume=1347735.8699325, weightedAverage=4.8E-7]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=5.5E-7, low=4.1E-7, open=5.2E-7, close=5.5E-7, volume=1.23974634, quoteVolume=2507805.0344836, weightedAverage=4.9E-7]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=5.9E-7, low=5.3E-7, open=5.3E-7, close=5.6E-7, volume=0.62841802, quoteVolume=1130659.7613747, weightedAverage=5.5E-7]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=5.7E-7, low=5.3E-7, open=5.6E-7, close=5.5E-7, volume=0.17767817, quoteVolume=318326.13770347, weightedAverage=5.5E-7]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=5.7E-7, low=5.3E-7, open=5.5E-7, close=5.7E-7, volume=0.23409309, quoteVolume=423022.13994888, weightedAverage=5.5E-7]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=5.8E-7, low=4.6E-7, open=5.7E-7, close=5.8E-7, volume=0.45522618, quoteVolume=850904.44881158, weightedAverage=5.3E-7]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=5.8E-7, low=3.0E-7, open=5.6E-7, close=4.8E-7, volume=2.37729836, quoteVolume=5757375.8710724, weightedAverage=4.1E-7]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=5.0E-7, low=4.6E-7, open=4.8E-7, close=4.8E-7, volume=0.34068996, quoteVolume=691426.93589803, weightedAverage=4.9E-7]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=5.0E-7, low=4.8E-7, open=4.9E-7, close=5.0E-7, volume=0.00665886, quoteVolume=13682.79740355, weightedAverage=4.8E-7]
PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=5.1E-7, low=4.5E-7, open=4.9E-7, close=4.6E-7, volume=0.60311171, quoteVolume=1222558.5024433, weightedAverage=4.9E-7]
PoloniexChartData [date=Thu Jun 16 20:00:00 EDT 2016, high=5.1E-7, low=4.3E-7, open=4.6E-7, close=4.8E-7, volume=0.57339265, quoteVolume=1250750.5937095, weightedAverage=4.5E-7]
PoloniexChartData [date=Fri Jun 17 20:00:00 EDT 2016, high=4.8E-7, low=4.1E-7, open=4.8E-7, close=4.7E-7, volume=0.36473392, quoteVolume=869955.63411191, weightedAverage=4.1E-7]
PoloniexChartData [date=Sat Jun 18 20:00:00 EDT 2016, high=4.8E-7, low=4.1E-7, open=4.4E-7, close=4.2E-7, volume=0.24807548, quoteVolume=573098.26526372, weightedAverage=4.3E-7]
