PoloniexChartData [date=2015-04-20 00:00:00 GMT, high=5.6E-7, low=4.7E-7, open=4.9E-7, close=4.9E-7, volume=0.10309715, quoteVolume=202129.57228749, weightedAverage=5.1E-7]
PoloniexChartData [date=2015-04-21 00:00:00 GMT, high=6.3E-7, low=4.9E-7, open=4.9E-7, close=5.4E-7, volume=0.56413967, quoteVolume=969874.5275188, weightedAverage=5.8E-7]
PoloniexChartData [date=2015-04-22 00:00:00 GMT, high=5.7E-7, low=5.0E-7, open=5.3E-7, close=5.7E-7, volume=0.06314482, quoteVolume=121138.57741808, weightedAverage=5.2E-7]
PoloniexChartData [date=2015-04-23 00:00:00 GMT, high=5.6E-7, low=5.1E-7, open=5.1E-7, close=5.5E-7, volume=0.01242607, quoteVolume=24032.74093942, weightedAverage=5.1E-7]
PoloniexChartData [date=2015-04-24 00:00:00 GMT, high=6.0E-7, low=4.8E-7, open=5.2E-7, close=4.8E-7, volume=0.17659706, quoteVolume=341987.30723837, weightedAverage=5.1E-7]
PoloniexChartData [date=2015-04-25 00:00:00 GMT, high=4.9E-7, low=4.7E-7, open=4.9E-7, close=4.7E-7, volume=0.04789194, quoteVolume=99799.99999999, weightedAverage=4.7E-7]
PoloniexChartData [date=2015-04-26 00:00:00 GMT, high=4.8E-7, low=4.6E-7, open=4.8E-7, close=4.6E-7, volume=0.03404205, quoteVolume=71899.4001409, weightedAverage=4.7E-7]
PoloniexChartData [date=2015-04-27 00:00:00 GMT, high=4.8E-7, low=4.6E-7, open=4.6E-7, close=4.6E-7, volume=0.52821944, quoteVolume=1121856.4470875, weightedAverage=4.7E-7]
PoloniexChartData [date=2015-04-28 00:00:00 GMT, high=6.0E-7, low=4.7E-7, open=4.7E-7, close=5.0E-7, volume=0.13446155, quoteVolume=250218.57351629, weightedAverage=5.3E-7]
PoloniexChartData [date=2015-04-29 00:00:00 GMT, high=5.1E-7, low=4.6E-7, open=5.1E-7, close=4.7E-7, volume=0.27797605, quoteVolume=571212.68419892, weightedAverage=4.8E-7]
PoloniexChartData [date=2015-04-30 00:00:00 GMT, high=4.6E-7, low=4.6E-7, open=4.6E-7, close=4.6E-7, volume=0.02435637, quoteVolume=52948.63463849, weightedAverage=4.6E-7]
PoloniexChartData [date=2015-05-01 00:00:00 GMT, high=5.2E-7, low=4.9E-7, open=4.9E-7, close=5.1E-7, volume=0.05185464, quoteVolume=102409, weightedAverage=5.0E-7]
PoloniexChartData [date=2015-05-02 00:00:00 GMT, high=5.0E-7, low=4.4E-7, open=5.0E-7, close=4.4E-7, volume=0.46443902, quoteVolume=1013104.891618, weightedAverage=4.5E-7]
PoloniexChartData [date=2015-05-03 00:00:00 GMT, high=5.1E-7, low=4.2E-7, open=4.6E-7, close=5.1E-7, volume=0.06872274, quoteVolume=144477.45833333, weightedAverage=4.7E-7]
PoloniexChartData [date=2015-05-04 00:00:00 GMT, high=4.9E-7, low=4.2E-7, open=4.6E-7, close=4.4E-7, volume=0.06509192, quoteVolume=150754.76558048, weightedAverage=4.3E-7]
PoloniexChartData [date=2015-05-05 00:00:00 GMT, high=4.4E-7, low=4.2E-7, open=4.4E-7, close=4.2E-7, volume=0.11887976, quoteVolume=279777.39806902, weightedAverage=4.2E-7]
PoloniexChartData [date=2015-05-06 00:00:00 GMT, high=4.3E-7, low=4.3E-7, open=4.3E-7, close=4.3E-7, volume=0.00342471, quoteVolume=7964.44371357, weightedAverage=4.3E-7]
PoloniexChartData [date=2015-05-07 00:00:00 GMT, high=5.2E-7, low=4.0E-7, open=4.3E-7, close=4.0E-7, volume=0.74065663, quoteVolume=1699913.3727004, weightedAverage=4.3E-7]
