PoloniexChartData [date=Fri Apr 22 20:00:00 EDT 2016, high=2.6E-7, low=2.4E-7, open=2.6E-7, close=2.5E-7, volume=0.11480318, quoteVolume=462074.78395253, weightedAverage=2.4E-7]
PoloniexChartData [date=Sat Apr 23 20:00:00 EDT 2016, high=2.8E-7, low=2.5E-7, open=2.5E-7, close=2.5E-7, volume=0.4705818, quoteVolume=1801160.6845911, weightedAverage=2.6E-7]
PoloniexChartData [date=Sun Apr 24 20:00:00 EDT 2016, high=2.6E-7, low=2.0E-7, open=2.5E-7, close=2.0E-7, volume=4.68904452, quoteVolume=21557755.447454, weightedAverage=2.1E-7]
PoloniexChartData [date=Mon Apr 25 20:00:00 EDT 2016, high=2.2E-7, low=1.8E-7, open=2.2E-7, close=2.0E-7, volume=2.77375644, quoteVolume=14576646.623171, weightedAverage=1.9E-7]
PoloniexChartData [date=Tue Apr 26 20:00:00 EDT 2016, high=2.1E-7, low=1.8E-7, open=1.9E-7, close=2.1E-7, volume=0.45980733, quoteVolume=2475601.3986486, weightedAverage=1.8E-7]
PoloniexChartData [date=Wed Apr 27 20:00:00 EDT 2016, high=2.3E-7, low=2.0E-7, open=2.0E-7, close=2.0E-7, volume=0.4497441, quoteVolume=2136546.8626876, weightedAverage=2.1E-7]
PoloniexChartData [date=Thu Apr 28 20:00:00 EDT 2016, high=2.2E-7, low=2.1E-7, open=2.2E-7, close=2.1E-7, volume=0.09226359, quoteVolume=438604.46368547, weightedAverage=2.1E-7]
PoloniexChartData [date=Fri Apr 29 20:00:00 EDT 2016, high=2.2E-7, low=2.0E-7, open=2.1E-7, close=2.1E-7, volume=0.55593039, quoteVolume=2732257.0776353, weightedAverage=2.0E-7]
PoloniexChartData [date=Sat Apr 30 20:00:00 EDT 2016, high=2.1E-7, low=1.9E-7, open=2.1E-7, close=2.1E-7, volume=0.45347259, quoteVolume=2188703.0902186, weightedAverage=2.0E-7]
PoloniexChartData [date=Sun May 01 20:00:00 EDT 2016, high=2.4E-7, low=2.0E-7, open=2.1E-7, close=2.1E-7, volume=1.28057312, quoteVolume=5718868.3928523, weightedAverage=2.2E-7]
PoloniexChartData [date=Mon May 02 20:00:00 EDT 2016, high=2.3E-7, low=2.0E-7, open=2.1E-7, close=2.2E-7, volume=0.81937186, quoteVolume=3958168.9654863, weightedAverage=2.0E-7]
PoloniexChartData [date=Tue May 03 20:00:00 EDT 2016, high=2.3E-7, low=2.0E-7, open=2.2E-7, close=2.0E-7, volume=0.60309547, quoteVolume=3007158.4547878, weightedAverage=2.0E-7]
PoloniexChartData [date=Wed May 04 20:00:00 EDT 2016, high=2.2E-7, low=2.2E-7, open=2.2E-7, close=2.2E-7, volume=0.00021246, quoteVolume=965.72727273, weightedAverage=2.2E-7]
PoloniexChartData [date=Thu May 05 20:00:00 EDT 2016, high=2.3E-7, low=1.8E-7, open=2.0E-7, close=2.3E-7, volume=1.47580751, quoteVolume=7259598.4104826, weightedAverage=2.0E-7]
PoloniexChartData [date=Fri May 06 20:00:00 EDT 2016, high=2.3E-7, low=2.0E-7, open=2.1E-7, close=2.2E-7, volume=0.52521313, quoteVolume=2462949.8567001, weightedAverage=2.1E-7]
