PoloniexChartData [date=2016-04-21 00:00:00 GMT, high=2.8E-7, low=2.5E-7, open=2.6E-7, close=2.5E-7, volume=1.13473072, quoteVolume=4384291.6403619, weightedAverage=2.5E-7]
PoloniexChartData [date=2016-04-22 00:00:00 GMT, high=2.8E-7, low=2.5E-7, open=2.5E-7, close=2.8E-7, volume=0.67716049, quoteVolume=2475063.6862213, weightedAverage=2.7E-7]
PoloniexChartData [date=2016-04-23 00:00:00 GMT, high=2.8E-7, low=2.6E-7, open=2.7E-7, close=2.7E-7, volume=0.50061446, quoteVolume=1843225.257377, weightedAverage=2.7E-7]
PoloniexChartData [date=2016-04-24 00:00:00 GMT, high=2.9E-7, low=2.6E-7, open=2.7E-7, close=2.7E-7, volume=0.65967445, quoteVolume=2405083.0606058, weightedAverage=2.7E-7]
PoloniexChartData [date=2016-04-25 00:00:00 GMT, high=2.7E-7, low=2.3E-7, open=2.7E-7, close=2.5E-7, volume=1.98658018, quoteVolume=8010073.0642117, weightedAverage=2.4E-7]
PoloniexChartData [date=2016-04-26 00:00:00 GMT, high=3.0E-7, low=2.3E-7, open=2.4E-7, close=2.7E-7, volume=2.95939457, quoteVolume=11085238.77572, weightedAverage=2.6E-7]
PoloniexChartData [date=2016-04-27 00:00:00 GMT, high=2.8E-7, low=2.5E-7, open=2.6E-7, close=2.6E-7, volume=0.53071037, quoteVolume=2031607.9840401, weightedAverage=2.6E-7]
PoloniexChartData [date=2016-04-28 00:00:00 GMT, high=2.8E-7, low=2.5E-7, open=2.6E-7, close=2.6E-7, volume=0.4197719, quoteVolume=1613880.5639492, weightedAverage=2.6E-7]
PoloniexChartData [date=2016-04-29 00:00:00 GMT, high=2.8E-7, low=2.6E-7, open=2.6E-7, close=2.7E-7, volume=0.09660801, quoteVolume=354947.29881823, weightedAverage=2.7E-7]
PoloniexChartData [date=2016-04-30 00:00:00 GMT, high=2.9E-7, low=2.5E-7, open=2.7E-7, close=2.6E-7, volume=0.74594756, quoteVolume=2793881.3377543, weightedAverage=2.6E-7]
PoloniexChartData [date=2016-05-01 00:00:00 GMT, high=2.7E-7, low=2.6E-7, open=2.6E-7, close=2.6E-7, volume=0.23460816, quoteVolume=902233.46983932, weightedAverage=2.6E-7]
PoloniexChartData [date=2016-05-02 00:00:00 GMT, high=2.7E-7, low=2.5E-7, open=2.6E-7, close=2.5E-7, volume=0.25028333, quoteVolume=962905.52282134, weightedAverage=2.5E-7]
PoloniexChartData [date=2016-05-03 00:00:00 GMT, high=2.7E-7, low=2.3E-7, open=2.5E-7, close=2.4E-7, volume=0.7985244, quoteVolume=3244239.1248119, weightedAverage=2.4E-7]
PoloniexChartData [date=2016-05-04 00:00:00 GMT, high=2.9E-7, low=2.4E-7, open=2.4E-7, close=2.6E-7, volume=1.55415746, quoteVolume=5588956.7898363, weightedAverage=2.7E-7]
PoloniexChartData [date=2016-05-05 00:00:00 GMT, high=2.7E-7, low=2.5E-7, open=2.6E-7, close=2.5E-7, volume=0.51887477, quoteVolume=1992814.5259422, weightedAverage=2.6E-7]
PoloniexChartData [date=2016-05-06 00:00:00 GMT, high=2.7E-7, low=2.4E-7, open=2.5E-7, close=2.5E-7, volume=1.15588035, quoteVolume=4587444.9776629, weightedAverage=2.5E-7]
PoloniexChartData [date=2016-05-07 00:00:00 GMT, high=2.7E-7, low=2.4E-7, open=2.5E-7, close=2.5E-7, volume=1.08575884, quoteVolume=4301722.5605999, weightedAverage=2.5E-7]
