PoloniexChartData [date=Fri Apr 22 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=0.12657442, quoteVolume=1230560.5684444, weightedAverage=1.0E-7]
PoloniexChartData [date=Sat Apr 23 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.1E-7, close=1.0E-7, volume=0.28772706, quoteVolume=2865381.9962854, weightedAverage=1.0E-7]
PoloniexChartData [date=Sun Apr 24 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.1E-7, close=9.0E-8, volume=0.54847882, quoteVolume=6049335.4548767, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon Apr 25 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=0.25269771, quoteVolume=2556862.3917143, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue Apr 26 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=0.00563272, quoteVolume=58315.55, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Apr 27 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=0.05419823, quoteVolume=592202.57340911, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu Apr 28 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=9.0E-8, close=1.1E-7, volume=0.55086736, quoteVolume=5505584.1030261, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Apr 29 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.1E-7, volume=0.34694288, quoteVolume=3154309.049742, weightedAverage=1.0E-7]
PoloniexChartData [date=Sat Apr 30 20:00:00 EDT 2016, high=1.1E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=0.19241172, quoteVolume=1749197.5, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun May 01 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=0.00526534, quoteVolume=48773.55153648, weightedAverage=1.0E-7]
PoloniexChartData [date=Mon May 02 20:00:00 EDT 2016, high=1.1E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=0.03462099, quoteVolume=314736.36363635, weightedAverage=1.1E-7]
PoloniexChartData [date=Tue May 03 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.1E-7, close=1.0E-7, volume=0.00300531, quoteVolume=29052.27272726, weightedAverage=1.0E-7]
PoloniexChartData [date=Wed May 04 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=0.65050634, quoteVolume=6954859.11725, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu May 05 20:00:00 EDT 2016, high=1.2E-7, low=9.0E-8, open=9.0E-8, close=1.1E-7, volume=0.60641058, quoteVolume=5699959.9307863, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri May 06 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.1E-7, close=1.1E-7, volume=0.31214215, quoteVolume=3100352.6143381, weightedAverage=1.0E-7]
PoloniexChartData [date=Sat May 07 20:00:00 EDT 2016, high=1.0E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=0.07202535, quoteVolume=720253.56040406, weightedAverage=1.0E-7]
PoloniexChartData [date=Sun May 08 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=0.0133402, quoteVolume=136636.10945725, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon May 09 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=0.01734084, quoteVolume=189898.29423077, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue May 10 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=0.01926636, quoteVolume=211357.06145834, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed May 11 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=0.10948588, quoteVolume=1087086.6198161, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu May 12 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=0.0133452, quoteVolume=123179.35499276, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri May 13 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=1.18815464, quoteVolume=13184504.979324, weightedAverage=9.0E-8]
PoloniexChartData [date=Sat May 14 20:00:00 EDT 2016, high=9.0E-8, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=0.000954, quoteVolume=10600, weightedAverage=9.0E-8]
PoloniexChartData [date=Sun May 15 20:00:00 EDT 2016, high=9.0E-8, low=9.0E-8, open=9.0E-8, close=9.0E-8, volume=0.0085994, quoteVolume=95548.96470945, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon May 16 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=0.41240986, quoteVolume=4285631.4719065, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue May 17 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=0.30556536, quoteVolume=3386805.4901193, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed May 18 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=0.05336712, quoteVolume=572340.86130769, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu May 19 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=9.0E-8, close=1.0E-7, volume=0.4620976, quoteVolume=4735946.1623336, weightedAverage=9.0E-8]
