PoloniexChartData [date=2016-04-21 00:00:00 GMT, high=4.9E-7, low=3.8E-7, open=4.9E-7, close=4.4E-7, volume=0.47037925, quoteVolume=1169673.7710095, weightedAverage=4.0E-7]
PoloniexChartData [date=2016-04-22 00:00:00 GMT, high=4.4E-7, low=4.4E-7, open=4.4E-7, close=4.4E-7, volume=0.02437461, quoteVolume=55396.86363635, weightedAverage=4.4E-7]
PoloniexChartData [date=2016-04-23 00:00:00 GMT, high=4.6E-7, low=4.5E-7, open=4.5E-7, close=4.5E-7, volume=0.16213519, quoteVolume=357181.73890505, weightedAverage=4.5E-7]
PoloniexChartData [date=2016-04-24 00:00:00 GMT, high=4.6E-7, low=4.5E-7, open=4.5E-7, close=4.5E-7, volume=0.02595997, quoteVolume=57508.81665683, weightedAverage=4.5E-7]
PoloniexChartData [date=2016-04-25 00:00:00 GMT, high=4.6E-7, low=3.8E-7, open=4.6E-7, close=4.4E-7, volume=0.39975868, quoteVolume=1000132.5697993, weightedAverage=3.9E-7]
PoloniexChartData [date=2016-04-26 00:00:00 GMT, high=4.4E-7, low=3.7E-7, open=4.3E-7, close=4.0E-7, volume=0.48124381, quoteVolume=1213994.0677989, weightedAverage=3.9E-7]
PoloniexChartData [date=2016-04-27 00:00:00 GMT, high=4.0E-7, low=3.1E-7, open=4.0E-7, close=3.7E-7, volume=0.87673084, quoteVolume=2580608.2679604, weightedAverage=3.3E-7]
PoloniexChartData [date=2016-04-28 00:00:00 GMT, high=4.3E-7, low=3.7E-7, open=3.9E-7, close=4.0E-7, volume=0.15388607, quoteVolume=384459.1409571, weightedAverage=4.0E-7]
PoloniexChartData [date=2016-04-29 00:00:00 GMT, high=4.4E-7, low=4.0E-7, open=4.4E-7, close=4.4E-7, volume=0.0252838, quoteVolume=57554.16760278, weightedAverage=4.3E-7]
PoloniexChartData [date=2016-04-30 00:00:00 GMT, high=4.8E-7, low=4.0E-7, open=4.0E-7, close=4.8E-7, volume=0.56593436, quoteVolume=1247089.2299558, weightedAverage=4.5E-7]
PoloniexChartData [date=2016-05-01 00:00:00 GMT, high=5.0E-7, low=4.5E-7, open=4.8E-7, close=5.0E-7, volume=0.08871416, quoteVolume=180516.31676047, weightedAverage=4.9E-7]
PoloniexChartData [date=2016-05-02 00:00:00 GMT, high=5.1E-7, low=4.1E-7, open=5.0E-7, close=4.5E-7, volume=0.31551306, quoteVolume=653329.367032, weightedAverage=4.8E-7]
PoloniexChartData [date=2016-05-03 00:00:00 GMT, high=5.9E-7, low=4.5E-7, open=4.5E-7, close=5.7E-7, volume=0.92089953, quoteVolume=1712300.4238368, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-05-04 00:00:00 GMT, high=6.0E-7, low=5.3E-7, open=5.5E-7, close=5.3E-7, volume=0.12597485, quoteVolume=217786.04219821, weightedAverage=5.7E-7]
PoloniexChartData [date=2016-05-05 00:00:00 GMT, high=6.0E-7, low=4.8E-7, open=5.5E-7, close=5.3E-7, volume=0.0427332, quoteVolume=78708.03983735, weightedAverage=5.4E-7]
PoloniexChartData [date=2016-05-06 00:00:00 GMT, high=5.2E-7, low=4.7E-7, open=4.8E-7, close=5.0E-7, volume=0.3890565, quoteVolume=785304.48339736, weightedAverage=4.9E-7]
PoloniexChartData [date=2016-05-07 00:00:00 GMT, high=5.9E-7, low=5.0E-7, open=5.1E-7, close=5.3E-7, volume=0.4056917, quoteVolume=788608.22357098, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-05-08 00:00:00 GMT, high=5.3E-7, low=5.1E-7, open=5.1E-7, close=5.2E-7, volume=0.03072563, quoteVolume=59562.79890126, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-05-09 00:00:00 GMT, high=5.3E-7, low=5.0E-7, open=5.1E-7, close=5.0E-7, volume=0.42188211, quoteVolume=841928.66024358, weightedAverage=5.0E-7]
PoloniexChartData [date=2016-05-10 00:00:00 GMT, high=5.3E-7, low=5.0E-7, open=5.3E-7, close=5.2E-7, volume=0.01185325, quoteVolume=23051.57692308, weightedAverage=5.1E-7]
PoloniexChartData [date=2016-05-11 00:00:00 GMT, high=5.0E-7, low=5.0E-7, open=5.0E-7, close=5.0E-7, volume=0.00564304, quoteVolume=11286.08091734, weightedAverage=5.0E-7]
PoloniexChartData [date=2016-05-12 00:00:00 GMT, high=5.1E-7, low=4.9E-7, open=5.1E-7, close=4.9E-7, volume=0.00992699, quoteVolume=19736.55482888, weightedAverage=5.0E-7]
