PoloniexChartData [date=Mon Apr 25 20:00:00 EDT 2016, high=1.6E-7, low=1.3E-7, open=1.4E-7, close=1.5E-7, volume=14.02172635, quoteVolume=96998186.195915, weightedAverage=1.4E-7]
PoloniexChartData [date=Tue Apr 26 20:00:00 EDT 2016, high=1.6E-7, low=1.3E-7, open=1.4E-7, close=1.6E-7, volume=18.61219183, quoteVolume=129806788.83803, weightedAverage=1.4E-7]
PoloniexChartData [date=Wed Apr 27 20:00:00 EDT 2016, high=1.7E-7, low=1.4E-7, open=1.5E-7, close=1.5E-7, volume=31.24302625, quoteVolume=209133992.44521, weightedAverage=1.4E-7]
PoloniexChartData [date=Thu Apr 28 20:00:00 EDT 2016, high=1.5E-7, low=1.3E-7, open=1.5E-7, close=1.4E-7, volume=7.46564382, quoteVolume=55301404.215522, weightedAverage=1.3E-7]
PoloniexChartData [date=Fri Apr 29 20:00:00 EDT 2016, high=1.5E-7, low=1.3E-7, open=1.4E-7, close=1.3E-7, volume=10.27382309, quoteVolume=75911655.519222, weightedAverage=1.3E-7]
PoloniexChartData [date=Sat Apr 30 20:00:00 EDT 2016, high=1.5E-7, low=1.3E-7, open=1.4E-7, close=1.4E-7, volume=1.65428583, quoteVolume=11666564.167387, weightedAverage=1.4E-7]
PoloniexChartData [date=Sun May 01 20:00:00 EDT 2016, high=1.6E-7, low=1.3E-7, open=1.4E-7, close=1.4E-7, volume=16.71408501, quoteVolume=114720649.94413, weightedAverage=1.4E-7]
PoloniexChartData [date=Mon May 02 20:00:00 EDT 2016, high=1.5E-7, low=1.4E-7, open=1.4E-7, close=1.4E-7, volume=4.76105535, quoteVolume=33632910.619128, weightedAverage=1.4E-7]
PoloniexChartData [date=Tue May 03 20:00:00 EDT 2016, high=1.5E-7, low=1.3E-7, open=1.4E-7, close=1.4E-7, volume=28.9904188, quoteVolume=217135898.93793, weightedAverage=1.3E-7]
PoloniexChartData [date=Wed May 04 20:00:00 EDT 2016, high=1.5E-7, low=1.3E-7, open=1.4E-7, close=1.4E-7, volume=20.12290711, quoteVolume=147851789.29828, weightedAverage=1.3E-7]
PoloniexChartData [date=Thu May 05 20:00:00 EDT 2016, high=1.4E-7, low=1.3E-7, open=1.4E-7, close=1.4E-7, volume=11.49373115, quoteVolume=85843666.74392, weightedAverage=1.3E-7]
PoloniexChartData [date=Fri May 06 20:00:00 EDT 2016, high=1.4E-7, low=1.3E-7, open=1.4E-7, close=1.3E-7, volume=5.86168829, quoteVolume=43520481.631237, weightedAverage=1.3E-7]
PoloniexChartData [date=Sat May 07 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.3E-7, volume=10.33698344, quoteVolume=83782350.722366, weightedAverage=1.2E-7]
PoloniexChartData [date=Sun May 08 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.2E-7, volume=20.4118679, quoteVolume=165289866.30723, weightedAverage=1.2E-7]
PoloniexChartData [date=Mon May 09 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.3E-7, close=1.3E-7, volume=26.55125761, quoteVolume=230280819.99863, weightedAverage=1.1E-7]
PoloniexChartData [date=Tue May 10 20:00:00 EDT 2016, high=1.3E-7, low=1.2E-7, open=1.2E-7, close=1.2E-7, volume=5.64440096, quoteVolume=46198272.781244, weightedAverage=1.2E-7]
PoloniexChartData [date=Wed May 11 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=6.05098968, quoteVolume=52169997.411435, weightedAverage=1.1E-7]
PoloniexChartData [date=Thu May 12 20:00:00 EDT 2016, high=1.3E-7, low=1.2E-7, open=1.2E-7, close=1.3E-7, volume=4.85083207, quoteVolume=38901933.189476, weightedAverage=1.2E-7]
PoloniexChartData [date=Fri May 13 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.4E-7, volume=11.8376659, quoteVolume=93246128.761136, weightedAverage=1.2E-7]
PoloniexChartData [date=Sat May 14 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.3E-7, volume=6.63266239, quoteVolume=53109972.14172, weightedAverage=1.2E-7]
PoloniexChartData [date=Sun May 15 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=5.56079339, quoteVolume=47260135.604335, weightedAverage=1.1E-7]
PoloniexChartData [date=Mon May 16 20:00:00 EDT 2016, high=1.4E-7, low=1.1E-7, open=1.1E-7, close=1.3E-7, volume=16.5744542, quoteVolume=128233853.29089, weightedAverage=1.2E-7]
PoloniexChartData [date=Tue May 17 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.3E-7, volume=4.44099084, quoteVolume=35691881.440097, weightedAverage=1.2E-7]
PoloniexChartData [date=Wed May 18 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.2E-7, close=1.3E-7, volume=12.31922128, quoteVolume=92692951.617505, weightedAverage=1.3E-7]
PoloniexChartData [date=Thu May 19 20:00:00 EDT 2016, high=2.6E-7, low=1.3E-7, open=1.3E-7, close=1.9E-7, volume=352.45439164, quoteVolume=1765684413.7552, weightedAverage=1.9E-7]
PoloniexChartData [date=Fri May 20 20:00:00 EDT 2016, high=2.3E-7, low=1.7E-7, open=1.9E-7, close=2.0E-7, volume=150.32228501, quoteVolume=738313898.42542, weightedAverage=2.0E-7]
PoloniexChartData [date=Sat May 21 20:00:00 EDT 2016, high=2.2E-7, low=1.9E-7, open=2.1E-7, close=2.0E-7, volume=41.88402988, quoteVolume=205538701.20909, weightedAverage=2.0E-7]
PoloniexChartData [date=Sun May 22 20:00:00 EDT 2016, high=2.0E-7, low=1.5E-7, open=2.0E-7, close=1.6E-7, volume=84.7022031, quoteVolume=513309124.99939, weightedAverage=1.6E-7]
PoloniexChartData [date=Mon May 23 20:00:00 EDT 2016, high=1.7E-7, low=1.3E-7, open=1.6E-7, close=1.4E-7, volume=30.31997935, quoteVolume=204181838.74301, weightedAverage=1.4E-7]
PoloniexChartData [date=Tue May 24 20:00:00 EDT 2016, high=1.5E-7, low=1.3E-7, open=1.3E-7, close=1.4E-7, volume=19.03291154, quoteVolume=143337800.17499, weightedAverage=1.3E-7]
PoloniexChartData [date=Wed May 25 20:00:00 EDT 2016, high=1.4E-7, low=1.2E-7, open=1.3E-7, close=1.2E-7, volume=19.14737365, quoteVolume=148635291.76183, weightedAverage=1.2E-7]
PoloniexChartData [date=Thu May 26 20:00:00 EDT 2016, high=1.3E-7, low=1.0E-7, open=1.2E-7, close=1.2E-7, volume=34.81249071, quoteVolume=307532093.64257, weightedAverage=1.1E-7]
PoloniexChartData [date=Fri May 27 20:00:00 EDT 2016, high=1.2E-7, low=9.0E-8, open=1.2E-7, close=1.0E-7, volume=26.07466471, quoteVolume=251981049.32114, weightedAverage=1.0E-7]
PoloniexChartData [date=Sat May 28 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=7.1078234, quoteVolume=64576895.280137, weightedAverage=1.1E-7]
PoloniexChartData [date=Sun May 29 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=3.61268839, quoteVolume=31599775.95221, weightedAverage=1.1E-7]
PoloniexChartData [date=Mon May 30 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.1E-7, close=1.2E-7, volume=15.88338707, quoteVolume=131860439.80855, weightedAverage=1.2E-7]
PoloniexChartData [date=Tue May 31 20:00:00 EDT 2016, high=1.3E-7, low=1.1E-7, open=1.3E-7, close=1.1E-7, volume=4.50123047, quoteVolume=37715684.427251, weightedAverage=1.1E-7]
PoloniexChartData [date=Wed Jun 01 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.2E-7, close=1.2E-7, volume=23.11420076, quoteVolume=202911472.13861, weightedAverage=1.1E-7]
PoloniexChartData [date=Thu Jun 02 20:00:00 EDT 2016, high=1.2E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=6.23584884, quoteVolume=53812118.999403, weightedAverage=1.1E-7]
PoloniexChartData [date=Fri Jun 03 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.2E-7, close=1.1E-7, volume=18.86705658, quoteVolume=181443254.00142, weightedAverage=1.0E-7]
PoloniexChartData [date=Sat Jun 04 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=4.6433495, quoteVolume=45940349.030723, weightedAverage=1.0E-7]
PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=11.39277122, quoteVolume=116343173.09538, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.1E-7, close=1.0E-7, volume=7.89870569, quoteVolume=82577482.052402, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=1.43317154, quoteVolume=13966472.624705, weightedAverage=1.0E-7]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.1E-7, close=1.1E-7, volume=4.76151628, quoteVolume=46985587.452316, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.1E-7, close=1.0E-7, volume=5.30210026, quoteVolume=52834409.578756, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=1.1E-7, low=1.0E-7, open=1.0E-7, close=1.0E-7, volume=7.92662293, quoteVolume=77916915.511466, weightedAverage=1.0E-7]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.0E-7, close=9.0E-8, volume=7.94927875, quoteVolume=85662229.376531, weightedAverage=9.0E-8]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=5.99649246, quoteVolume=71642561.643031, weightedAverage=8.0E-8]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=1.0E-7, volume=6.2722274, quoteVolume=68459442.934688, weightedAverage=9.0E-8]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=1.0E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=4.50786748, quoteVolume=49806453.865472, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=1.0E-7, low=7.0E-8, open=9.0E-8, close=8.0E-8, volume=7.95144344, quoteVolume=97820682.045646, weightedAverage=8.0E-8]
PoloniexChartData [date=Thu Jun 16 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=13.76813411, quoteVolume=193505223.21723, weightedAverage=7.0E-8]
PoloniexChartData [date=Fri Jun 17 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=4.28637179, quoteVolume=59553799.243572, weightedAverage=7.0E-8]
PoloniexChartData [date=Sat Jun 18 20:00:00 EDT 2016, high=9.0E-8, low=6.0E-8, open=8.0E-8, close=9.0E-8, volume=11.5929267, quoteVolume=147671260.21729, weightedAverage=7.0E-8]
PoloniexChartData [date=Sun Jun 19 20:00:00 EDT 2016, high=9.0E-8, low=7.0E-8, open=9.0E-8, close=8.0E-8, volume=3.89118004, quoteVolume=46706475.070932, weightedAverage=8.0E-8]
PoloniexChartData [date=Mon Jun 20 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=4.74452305, quoteVolume=57601223.058181, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Jun 21 20:00:00 EDT 2016, high=1.1E-7, low=7.0E-8, open=8.0E-8, close=9.0E-8, volume=19.43014271, quoteVolume=222069220.31841, weightedAverage=8.0E-8]
PoloniexChartData [date=Wed Jun 22 20:00:00 EDT 2016, high=1.3E-7, low=9.0E-8, open=1.0E-7, close=1.0E-7, volume=49.86108206, quoteVolume=460120899.4474, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu Jun 23 20:00:00 EDT 2016, high=1.1E-7, low=9.0E-8, open=1.1E-7, close=1.1E-7, volume=14.23550662, quoteVolume=139547062.98787, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Jun 24 20:00:00 EDT 2016, high=1.1E-7, low=7.0E-8, open=1.0E-7, close=9.0E-8, volume=45.88321104, quoteVolume=533431577.21654, weightedAverage=8.0E-8]
PoloniexChartData [date=Sat Jun 25 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=32.88693935, quoteVolume=375581638.63351, weightedAverage=8.0E-8]
PoloniexChartData [date=Sun Jun 26 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=11.10997477, quoteVolume=123239018.89259, weightedAverage=9.0E-8]
PoloniexChartData [date=Mon Jun 27 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=8.0E-8, close=9.0E-8, volume=19.75562178, quoteVolume=231163338.08514, weightedAverage=8.0E-8]
PoloniexChartData [date=Tue Jun 28 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=8.0E-8, close=9.0E-8, volume=14.5174485, quoteVolume=159041716.80916, weightedAverage=9.0E-8]
PoloniexChartData [date=Wed Jun 29 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=28.15799573, quoteVolume=300971298.05579, weightedAverage=9.0E-8]
PoloniexChartData [date=Thu Jun 30 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=1.0E-7, close=9.0E-8, volume=17.14898633, quoteVolume=187073002.72204, weightedAverage=9.0E-8]
PoloniexChartData [date=Fri Jul 01 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=9.0E-8, close=8.0E-8, volume=8.49260099, quoteVolume=94059166.982274, weightedAverage=9.0E-8]
PoloniexChartData [date=Sat Jul 02 20:00:00 EDT 2016, high=1.0E-7, low=8.0E-8, open=1.0E-7, close=9.0E-8, volume=3.35546836, quoteVolume=39462817.907307, weightedAverage=8.0E-8]
PoloniexChartData [date=Sun Jul 03 20:00:00 EDT 2016, high=9.0E-8, low=8.0E-8, open=9.0E-8, close=9.0E-8, volume=4.37927123, quoteVolume=49645888.795589, weightedAverage=8.0E-8]
PoloniexChartData [date=Mon Jul 04 20:00:00 EDT 2016, high=1.7E-7, low=8.0E-8, open=9.0E-8, close=1.1E-7, volume=273.70285446, quoteVolume=2117250353.2739, weightedAverage=1.2E-7]
PoloniexChartData [date=Tue Jul 05 20:00:00 EDT 2016, high=1.5E-7, low=1.1E-7, open=1.1E-7, close=1.1E-7, volume=79.88255258, quoteVolume=608463124.92927, weightedAverage=1.3E-7]
PoloniexChartData [date=Wed Jul 06 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.2E-7, close=1.1E-7, volume=42.54951176, quoteVolume=392441100.13476, weightedAverage=1.0E-7]
PoloniexChartData [date=Thu Jul 07 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.2E-7, close=1.1E-7, volume=11.32341738, quoteVolume=105407281.41593, weightedAverage=1.0E-7]
PoloniexChartData [date=Fri Jul 08 20:00:00 EDT 2016, high=1.2E-7, low=1.0E-7, open=1.1E-7, close=1.0E-7, volume=3.67043489, quoteVolume=33505289.982345, weightedAverage=1.0E-7]
