PoloniexChartData [date=2015-04-18 00:00:00 GMT, high=7.6E-7, low=6.2E-7, open=7.6E-7, close=6.3E-7, volume=39.41014928, quoteVolume=58067709.804586, weightedAverage=6.7E-7]
PoloniexChartData [date=2015-04-19 00:00:00 GMT, high=7.3E-7, low=6.0E-7, open=6.3E-7, close=6.6E-7, volume=31.0001846, quoteVolume=47130277.639059, weightedAverage=6.5E-7]
PoloniexChartData [date=2015-04-20 00:00:00 GMT, high=6.7E-7, low=5.6E-7, open=6.7E-7, close=5.9E-7, volume=27.60760733, quoteVolume=46338929.331963, weightedAverage=5.9E-7]
PoloniexChartData [date=2015-04-21 00:00:00 GMT, high=6.5E-7, low=5.5E-7, open=5.9E-7, close=5.8E-7, volume=15.65672713, quoteVolume=26438704.853727, weightedAverage=5.9E-7]
PoloniexChartData [date=2015-04-22 00:00:00 GMT, high=6.3E-7, low=5.5E-7, open=5.8E-7, close=5.9E-7, volume=9.87715692, quoteVolume=16724414.630157, weightedAverage=5.9E-7]
PoloniexChartData [date=2015-04-23 00:00:00 GMT, high=6.2E-7, low=5.6E-7, open=6.0E-7, close=5.8E-7, volume=8.00874938, quoteVolume=13759751.355395, weightedAverage=5.8E-7]
PoloniexChartData [date=2015-04-24 00:00:00 GMT, high=6.4E-7, low=5.7E-7, open=5.8E-7, close=6.4E-7, volume=12.92889238, quoteVolume=21491218.270034, weightedAverage=6.0E-7]
PoloniexChartData [date=2015-04-25 00:00:00 GMT, high=6.5E-7, low=6.0E-7, open=6.1E-7, close=6.2E-7, volume=10.68868072, quoteVolume=17076886.604218, weightedAverage=6.2E-7]
PoloniexChartData [date=2015-04-26 00:00:00 GMT, high=6.2E-7, low=5.8E-7, open=6.2E-7, close=6.1E-7, volume=9.23120202, quoteVolume=15313891.241137, weightedAverage=6.0E-7]
PoloniexChartData [date=2015-04-27 00:00:00 GMT, high=7.8E-7, low=6.2E-7, open=6.2E-7, close=7.0E-7, volume=28.64647495, quoteVolume=41441981.63666, weightedAverage=6.9E-7]
PoloniexChartData [date=2015-04-28 00:00:00 GMT, high=7.1E-7, low=6.4E-7, open=6.9E-7, close=6.5E-7, volume=11.92102383, quoteVolume=17701314.126313, weightedAverage=6.7E-7]
PoloniexChartData [date=2015-04-29 00:00:00 GMT, high=6.8E-7, low=6.2E-7, open=6.5E-7, close=6.5E-7, volume=8.67019275, quoteVolume=13344805.794951, weightedAverage=6.4E-7]
PoloniexChartData [date=2015-04-30 00:00:00 GMT, high=6.7E-7, low=6.4E-7, open=6.5E-7, close=6.6E-7, volume=3.32661393, quoteVolume=5075036.3405733, weightedAverage=6.5E-7]
PoloniexChartData [date=2015-05-01 00:00:00 GMT, high=6.7E-7, low=6.5E-7, open=6.6E-7, close=6.7E-7, volume=2.93797781, quoteVolume=4460387.2914553, weightedAverage=6.5E-7]
PoloniexChartData [date=2015-05-02 00:00:00 GMT, high=6.7E-7, low=6.2E-7, open=6.6E-7, close=6.6E-7, volume=6.43212779, quoteVolume=9969282.6142582, weightedAverage=6.4E-7]
PoloniexChartData [date=2015-05-03 00:00:00 GMT, high=6.6E-7, low=5.9E-7, open=6.6E-7, close=6.2E-7, volume=17.91123258, quoteVolume=28841659.809742, weightedAverage=6.2E-7]
PoloniexChartData [date=2015-05-04 00:00:00 GMT, high=6.5E-7, low=5.9E-7, open=6.3E-7, close=6.3E-7, volume=9.68338378, quoteVolume=15613754.765204, weightedAverage=6.2E-7]
PoloniexChartData [date=2015-05-05 00:00:00 GMT, high=6.4E-7, low=5.8E-7, open=6.3E-7, close=5.9E-7, volume=13.68546238, quoteVolume=22300352.310453, weightedAverage=6.1E-7]
PoloniexChartData [date=2015-05-06 00:00:00 GMT, high=6.2E-7, low=5.8E-7, open=6.0E-7, close=6.2E-7, volume=2.5337365, quoteVolume=4237814.1577762, weightedAverage=5.9E-7]
PoloniexChartData [date=2015-05-07 00:00:00 GMT, high=6.8E-7, low=6.2E-7, open=6.2E-7, close=6.6E-7, volume=9.78224995, quoteVolume=14900678.178951, weightedAverage=6.5E-7]
PoloniexChartData [date=2015-05-08 00:00:00 GMT, high=6.6E-7, low=6.2E-7, open=6.5E-7, close=6.4E-7, volume=2.05283239, quoteVolume=3182302.0819092, weightedAverage=6.4E-7]
PoloniexChartData [date=2015-05-09 00:00:00 GMT, high=6.4E-7, low=6.1E-7, open=6.3E-7, close=6.2E-7, volume=2.55440157, quoteVolume=4091563.979888, weightedAverage=6.2E-7]
PoloniexChartData [date=2015-05-10 00:00:00 GMT, high=6.5E-7, low=6.1E-7, open=6.2E-7, close=6.3E-7, volume=7.34172815, quoteVolume=11665105.00616, weightedAverage=6.2E-7]
PoloniexChartData [date=2015-05-11 00:00:00 GMT, high=6.4E-7, low=5.8E-7, open=6.3E-7, close=6.4E-7, volume=13.68533526, quoteVolume=22461310.055601, weightedAverage=6.0E-7]
PoloniexChartData [date=2015-05-12 00:00:00 GMT, high=6.9E-7, low=6.1E-7, open=6.3E-7, close=6.9E-7, volume=16.88731009, quoteVolume=25314502.033157, weightedAverage=6.6E-7]
PoloniexChartData [date=2015-05-13 00:00:00 GMT, high=7.3E-7, low=6.4E-7, open=6.7E-7, close=6.7E-7, volume=12.62982724, quoteVolume=18333606.291733, weightedAverage=6.8E-7]
