PoloniexChartData [date=Tue May 31 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=6.0E-8, volume=0.46673846, quoteVolume=7510839.7685548, weightedAverage=6.0E-8]
PoloniexChartData [date=Wed Jun 01 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=7.0E-8, volume=0.74442001, quoteVolume=11809935.051772, weightedAverage=6.0E-8]
PoloniexChartData [date=Thu Jun 02 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=6.0E-8, volume=0.96002627, quoteVolume=15967083.43376, weightedAverage=6.0E-8]
PoloniexChartData [date=Fri Jun 03 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=6.0E-8, volume=0.47591343, quoteVolume=6981030.2006078, weightedAverage=6.0E-8]
PoloniexChartData [date=Sat Jun 04 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=2.26082815, quoteVolume=33490123.772203, weightedAverage=6.0E-8]
PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=6.0E-8, close=7.0E-8, volume=0.73066522, quoteVolume=10060053.029845, weightedAverage=7.0E-8]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=6.0E-8, volume=0.83141451, quoteVolume=12527442.85384, weightedAverage=6.0E-8]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=6.0E-8, close=6.0E-8, volume=0.09026906, quoteVolume=1350039.2192814, weightedAverage=6.0E-8]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=7.0E-8, close=7.0E-8, volume=1.01555077, quoteVolume=16494894.436239, weightedAverage=6.0E-8]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=8.0E-8, low=6.0E-8, open=7.0E-8, close=6.0E-8, volume=0.56319015, quoteVolume=8546788.8247223, weightedAverage=6.0E-8]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=7.0E-8, low=6.0E-8, open=7.0E-8, close=6.0E-8, volume=0.13724965, quoteVolume=2162363.1028212, weightedAverage=6.0E-8]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=7.0E-8, low=5.0E-8, open=6.0E-8, close=6.0E-8, volume=8.63143077, quoteVolume=147912315.28477, weightedAverage=5.0E-8]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=6.0E-8, low=5.0E-8, open=6.0E-8, close=5.0E-8, volume=3.37282524, quoteVolume=67165155.734786, weightedAverage=5.0E-8]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=6.0E-8, low=4.0E-8, open=6.0E-8, close=5.0E-8, volume=2.56126054, quoteVolume=48215577.884818, weightedAverage=5.0E-8]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=6.0E-8, low=5.0E-8, open=5.0E-8, close=5.0E-8, volume=1.18621685, quoteVolume=21649317.069852, weightedAverage=5.0E-8]
PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=6.0E-8, low=4.0E-8, open=5.0E-8, close=5.0E-8, volume=2.0347763, quoteVolume=40453928.298667, weightedAverage=5.0E-8]
