PoloniexChartData [date=Tue May 31 20:00:00 EDT 2016, high=5.4E-7, low=2.8E-7, open=2.8E-7, close=3.6E-7, volume=1.89869098, quoteVolume=5089428.9805077, weightedAverage=3.7E-7]
PoloniexChartData [date=Wed Jun 01 20:00:00 EDT 2016, high=3.8E-7, low=3.6E-7, open=3.6E-7, close=3.8E-7, volume=0.05696629, quoteVolume=151494.56747641, weightedAverage=3.7E-7]
PoloniexChartData [date=Thu Jun 02 20:00:00 EDT 2016, high=4.3E-7, low=2.1E-7, open=3.7E-7, close=3.4E-7, volume=0.54985727, quoteVolume=1815837.4322179, weightedAverage=3.0E-7]
PoloniexChartData [date=Fri Jun 03 20:00:00 EDT 2016, high=4.3E-7, low=3.0E-7, open=3.6E-7, close=3.8E-7, volume=0.17001163, quoteVolume=437126.12516681, weightedAverage=3.8E-7]
PoloniexChartData [date=Sat Jun 04 20:00:00 EDT 2016, high=4.2E-7, low=3.6E-7, open=4.0E-7, close=3.8E-7, volume=0.05634925, quoteVolume=144583.72317389, weightedAverage=3.8E-7]
PoloniexChartData [date=Sun Jun 05 20:00:00 EDT 2016, high=3.8E-7, low=2.6E-7, open=3.6E-7, close=3.7E-7, volume=0.43994489, quoteVolume=1164823.1095705, weightedAverage=3.7E-7]
PoloniexChartData [date=Mon Jun 06 20:00:00 EDT 2016, high=3.7E-7, low=3.0E-7, open=3.7E-7, close=3.0E-7, volume=0.04995118, quoteVolume=154584.74544544, weightedAverage=3.2E-7]
PoloniexChartData [date=Tue Jun 07 20:00:00 EDT 2016, high=3.1E-7, low=2.3E-7, open=3.0E-7, close=2.6E-7, volume=0.30826925, quoteVolume=1232304.5126575, weightedAverage=2.5E-7]
PoloniexChartData [date=Wed Jun 08 20:00:00 EDT 2016, high=2.9E-7, low=2.6E-7, open=2.6E-7, close=2.8E-7, volume=0.11820193, quoteVolume=425163.72843182, weightedAverage=2.7E-7]
PoloniexChartData [date=Thu Jun 09 20:00:00 EDT 2016, high=3.9E-7, low=2.9E-7, open=2.9E-7, close=3.6E-7, volume=0.75686918, quoteVolume=2117998.087774, weightedAverage=3.5E-7]
PoloniexChartData [date=Fri Jun 10 20:00:00 EDT 2016, high=3.8E-7, low=3.2E-7, open=3.8E-7, close=3.6E-7, volume=0.09621504, quoteVolume=264624.87560413, weightedAverage=3.6E-7]
PoloniexChartData [date=Sat Jun 11 20:00:00 EDT 2016, high=3.9E-7, low=3.0E-7, open=3.5E-7, close=3.3E-7, volume=0.25584626, quoteVolume=792792.76051341, weightedAverage=3.2E-7]
PoloniexChartData [date=Sun Jun 12 20:00:00 EDT 2016, high=4.0E-7, low=2.4E-7, open=3.5E-7, close=2.6E-7, volume=2.09717236, quoteVolume=7082392.6164155, weightedAverage=2.9E-7]
PoloniexChartData [date=Mon Jun 13 20:00:00 EDT 2016, high=3.1E-7, low=2.6E-7, open=2.9E-7, close=2.9E-7, volume=0.31498841, quoteVolume=1106048.6133443, weightedAverage=2.8E-7]
PoloniexChartData [date=Tue Jun 14 20:00:00 EDT 2016, high=3.5E-7, low=2.4E-7, open=3.0E-7, close=3.1E-7, volume=0.27974681, quoteVolume=967665.58796264, weightedAverage=2.8E-7]
PoloniexChartData [date=Wed Jun 15 20:00:00 EDT 2016, high=3.1E-7, low=2.5E-7, open=3.1E-7, close=2.6E-7, volume=0.10820748, quoteVolume=401287.13926437, weightedAverage=2.6E-7]
PoloniexChartData [date=Thu Jun 16 20:00:00 EDT 2016, high=2.8E-7, low=2.3E-7, open=2.8E-7, close=2.3E-7, volume=0.1407192, quoteVolume=571267.05096555, weightedAverage=2.4E-7]
PoloniexChartData [date=Fri Jun 17 20:00:00 EDT 2016, high=3.2E-7, low=2.0E-7, open=2.5E-7, close=2.9E-7, volume=0.70981615, quoteVolume=2874759.5111284, weightedAverage=2.4E-7]
PoloniexChartData [date=Sat Jun 18 20:00:00 EDT 2016, high=3.6E-7, low=2.7E-7, open=3.1E-7, close=3.6E-7, volume=0.28750273, quoteVolume=863680.46955859, weightedAverage=3.3E-7]
PoloniexChartData [date=Sun Jun 19 20:00:00 EDT 2016, high=3.5E-7, low=2.6E-7, open=3.3E-7, close=3.1E-7, volume=0.18679201, quoteVolume=627413.10622391, weightedAverage=2.9E-7]
PoloniexChartData [date=Mon Jun 20 20:00:00 EDT 2016, high=3.5E-7, low=2.6E-7, open=2.9E-7, close=3.4E-7, volume=0.79743458, quoteVolume=2707057.7743178, weightedAverage=2.9E-7]
PoloniexChartData [date=Tue Jun 21 20:00:00 EDT 2016, high=3.3E-7, low=2.6E-7, open=3.3E-7, close=2.9E-7, volume=0.20384632, quoteVolume=737035.41534249, weightedAverage=2.7E-7]
PoloniexChartData [date=Wed Jun 22 20:00:00 EDT 2016, high=3.6E-7, low=2.4E-7, open=2.7E-7, close=3.2E-7, volume=0.42503245, quoteVolume=1487505.4090119, weightedAverage=2.8E-7]
PoloniexChartData [date=Thu Jun 23 20:00:00 EDT 2016, high=3.3E-7, low=2.7E-7, open=3.2E-7, close=3.3E-7, volume=0.22920263, quoteVolume=756443.24163471, weightedAverage=3.0E-7]
PoloniexChartData [date=Fri Jun 24 20:00:00 EDT 2016, high=3.7E-7, low=3.0E-7, open=3.3E-7, close=3.7E-7, volume=0.44100717, quoteVolume=1266837.0027784, weightedAverage=3.4E-7]
PoloniexChartData [date=Sat Jun 25 20:00:00 EDT 2016, high=3.8E-7, low=3.2E-7, open=3.6E-7, close=3.6E-7, volume=0.08279518, quoteVolume=238109.67364455, weightedAverage=3.4E-7]
PoloniexChartData [date=Sun Jun 26 20:00:00 EDT 2016, high=3.8E-7, low=3.0E-7, open=3.3E-7, close=3.4E-7, volume=0.16066701, quoteVolume=493835.55807279, weightedAverage=3.2E-7]
PoloniexChartData [date=Mon Jun 27 20:00:00 EDT 2016, high=3.5E-7, low=3.1E-7, open=3.3E-7, close=3.1E-7, volume=0.02393827, quoteVolume=74154.63953772, weightedAverage=3.2E-7]
