Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,23.34,23.469999,23.190001,23.450001,36159800,23.450001
2017-04-03,22.84,23.219999,22.790001,23.200001,47329400,23.200001
2017-03-31,22.65,23.120001,22.549999,22.809999,54128600,22.809999
2017-03-30,22.73,22.889999,22.530001,22.549999,44069800,22.549999
2017-03-29,22.74,23.059999,22.66,22.91,33410400,22.91
2017-03-28,23.35,23.48,22.58,22.809999,71710500,22.809999
2017-03-27,23.440001,23.540001,23.15,23.43,59926100,23.43
2017-03-24,22.950001,23.18,22.83,22.92,35599400,22.92
2017-03-23,23.360001,23.450001,22.629999,23.030001,66838100,23.030001
2017-03-22,23.42,23.559999,23.129999,23.25,61006300,23.25
2017-03-21,23.049999,23.51,23.030001,23.26,73105400,23.26
2017-03-20,22.74,23.00,22.58,22.889999,36811900,22.889999
2017-03-17,22.860001,23.08,22.51,22.67,48710700,22.67
2017-03-16,22.98,23.450001,22.690001,22.77,61142100,22.77
2017-03-15,21.57,23.040001,21.370001,22.98,149639300,22.98
2017-03-14,21.91,22.190001,21.26,21.34,78951700,21.34
2017-03-13,21.889999,22.10,21.73,22.00,51176800,22.00
2017-03-10,21.32,21.889999,21.190001,21.73,82272200,21.73
2017-03-09,21.389999,21.549999,21.139999,21.139999,36674500,21.139999
2017-03-08,21.23,21.639999,21.17,21.35,46633900,21.35
2017-03-07,21.379999,21.799999,21.219999,21.51,49005100,21.51
2017-03-06,22.10,22.120001,21.35,21.639999,74805000,21.639999
2017-03-03,21.73,22.469999,21.57,22.200001,81035000,22.200001
2017-03-02,22.49,22.690001,21.83,21.93,97554200,21.93
2017-03-01,22.450001,23.17,22.27,22.98,63793000,22.98
2017-02-28,23.24,23.42,22.639999,22.85,79879000,22.85
2017-02-27,24.10,24.58,22.73,22.84,110167900,22.84
2017-02-24,24.709999,24.719999,24.049999,24.129999,49100300,24.129999
2017-02-23,24.73,24.860001,24.35,24.370001,44097500,24.370001
2017-02-22,24.48,24.60,23.82,24.33,78656400,24.33
2017-02-21,24.48,24.76,24.120001,24.620001,48647000,24.620001
2017-02-17,25.290001,25.32,24.73,24.790001,49155000,24.790001
