Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,13.65,14.16,13.54,13.60,13932700,13.60
2017-04-03,14.77,14.80,13.82,14.04,16557000,14.04
2017-03-31,15.01,15.27,13.84,14.84,20563300,14.84
2017-03-30,15.23,15.46,14.74,15.19,15385900,15.19
2017-03-29,15.25,15.44,14.22,14.52,16328200,14.52
2017-03-28,13.97,15.80,13.81,15.02,21176300,15.02
2017-03-27,13.53,14.49,13.44,13.80,14349500,13.80
2017-03-24,14.67,15.07,13.99,14.70,15278500,14.70
2017-03-23,13.52,15.23,13.32,14.55,22284800,14.55
2017-03-22,12.81,13.88,12.80,13.71,17745800,13.71
2017-03-21,13.37,13.59,12.49,13.29,21923000,13.29
2017-03-20,14.46,14.95,13.50,14.03,12479500,14.03
2017-03-17,13.42,15.38,13.16,14.65,22918400,14.65
2017-03-16,12.36,13.94,12.32,13.45,24482000,13.45
2017-03-15,19.290001,19.93,12.63,13.07,35771200,13.07
2017-03-14,17.030001,20.15,16.68,19.799999,23936600,19.799999
2017-03-13,18.950001,19.290001,16.51,16.870001,20728900,16.870001
2017-03-10,22.219999,22.790001,18.90,19.35,16105600,19.35
2017-03-09,21.889999,23.049999,21.07,22.790001,11880700,22.790001
2017-03-08,22.540001,22.639999,20.780001,22.17,14011500,22.17
2017-03-07,23.10,23.50,19.889999,21.42,20707000,21.42
2017-03-06,19.59,22.809999,19.309999,21.99,20426600,21.99
2017-03-03,20.469999,22.10,17.969999,18.870001,26904400,18.870001
2017-03-02,17.76,20.639999,17.18,20.43,21276600,20.43
2017-03-01,18.98,19.10,16.32,16.32,20012300,16.32
2017-02-28,16.780001,18.299999,16.01,17.34,26195800,17.34
2017-02-27,14.38,18.549999,13.67,18.370001,25054100,18.370001
2017-02-24,12.84,14.42,12.81,14.33,16233100,14.33
2017-02-23,12.84,13.50,12.72,13.48,14917900,13.48
2017-02-22,13.63,14.88,13.30,13.67,17764900,13.67
2017-02-21,13.75,14.54,13.05,13.60,17962800,13.60
2017-02-17,12.34,13.24,12.16,13.13,14455900,13.13
2017-02-16,12.62,12.80,12.15,12.43,14487200,12.43
2017-02-15,13.24,13.51,12.72,12.96,14593600,12.96
2017-02-14,12.58,13.78,12.47,12.74,18333300,12.74
2017-02-13,13.15,13.41,12.78,13.21,13617300,13.21
2017-02-10,14.11,14.30,12.51,12.65,23223400,12.65
2017-02-09,12.38,13.69,12.30,13.59,20607300,13.59
2017-02-08,12.09,12.98,11.75,12.43,21535800,12.43
2017-02-07,12.95,13.22,11.92,12.72,21172600,12.72
2017-02-06,15.28,15.64,12.50,12.51,21893600,12.51
2017-02-03,16.74,16.83,16.120001,16.15,13430500,16.15
2017-02-02,16.43,17.139999,16.190001,16.67,11099400,16.67
2017-02-01,19.08,19.299999,17.540001,17.85,14582600,17.85
2017-01-31,18.51,19.00,18.190001,18.280001,11902800,18.280001
2017-01-30,19.299999,19.98,18.50,19.84,9984200,19.84
2017-01-27,20.799999,20.82,19.60,19.610001,10727600,19.610001
2017-01-26,20.60,21.01,20.08,20.889999,11747900,20.889999
2017-01-25,19.90,20.360001,19.190001,19.209999,14612100,19.209999
2017-01-24,18.50,19.450001,17.299999,18.700001,17280400,18.700001
2017-01-23,18.75,19.35,18.15,18.23,11656300,18.23
2017-01-20,20.280001,20.99,18.35,19.66,15065100,19.66
2017-01-19,21.24,21.85,19.540001,20.32,15579200,20.32
2017-01-18,18.860001,20.82,18.299999,20.139999,12309600,20.139999
2017-01-17,18.50,19.26,18.16,18.559999,11020300,18.559999
2017-01-13,21.73,22.50,20.35,20.469999,13125200,20.469999
2017-01-12,18.68,21.469999,18.530001,20.67,12619600,20.67
2017-01-11,21.389999,22.549999,19.41,20.190001,16669400,20.190001
2017-01-10,20.59,21.950001,19.120001,20.41,12124000,20.41
2017-01-09,21.030001,22.52,19.24,21.82,13905500,21.82
2017-01-06,21.73,24.950001,20.049999,22.860001,16742600,22.860001
2017-01-05,24.75,24.959999,19.379999,20.219999,13894600,20.219999
2017-01-04,27.299999,29.49,27.00,27.309999,6607900,27.309999
2017-01-03,34.52,34.709999,28.50,28.620001,5561500,28.620001
2016-12-30,30.190001,35.639999,28.18,35.09,7306900,35.09
2016-12-29,40.77,41.48,30.26,30.50,5558200,30.50
2016-12-28,47.689999,49.029999,41.82,41.919998,2667600,41.919998
2016-12-27,50.349998,51.09,46.50,46.599998,2169900,46.599998
2016-12-23,54.139999,54.959999,52.00,52.32,1638700,52.32
2016-12-22,55.02,55.77,50.66,54.450001,2583600,54.450001
2016-12-21,52.41,55.00,51.549999,54.650002,1677800,54.650002
2016-12-20,57.459999,59.360001,52.310001,52.77,3802800,52.77
2016-12-19,50.959999,55.080002,50.669998,53.27,2938800,53.27
2016-12-16,48.790001,55.560001,47.07,53.41,6044100,53.41
2016-12-15,47.849998,52.84,47.130001,51.27,5951300,51.27
2016-12-14,35.50,43.900002,34.369999,43.720001,6691500,43.720001
2016-12-13,37.169998,38.75,36.259998,36.830002,2567000,36.830002
2016-12-12,36.02,37.779999,34.459999,37.360001,3435000,37.360001
2016-12-09,33.700001,38.00,33.23,37.380001,4255500,37.380001
2016-12-08,32.939999,34.09,32.43,32.549999,2789900,32.549999
2016-12-07,32.209999,33.669998,31.030001,32.709999,3331400,32.709999
2016-12-06,33.77,34.709999,31.50,34.060001,2878000,34.060001
2016-12-05,35.880001,37.619999,32.279999,33.700001,4518600,33.700001
2016-12-02,36.57,36.619999,33.700001,34.139999,3890600,34.139999
2016-12-01,38.34,40.549999,34.720001,38.130001,4349900,38.130001
2016-11-30,37.119999,38.77,36.470001,37.77,3360300,37.77
2016-11-29,38.00,38.799999,35.130001,35.84,4043600,35.84
2016-11-28,38.59,40.110001,34.610001,35.32,4616300,35.32
2016-11-25,38.27,41.00,37.41,40.209999,2298900,40.209999
2016-11-23,39.099998,41.25,38.540001,40.110001,5485400,40.110001
2016-11-22,35.330002,38.73,34.50,34.66,4707000,34.66
2016-11-21,36.00,37.810001,34.48,36.400002,4398000,36.400002
2016-11-18,39.580002,41.400002,38.07,38.540001,5053200,38.540001
2016-11-17,35.09,40.599998,32.360001,38.310001,7526800,38.310001
2016-11-16,33.029999,36.48,32.34,35.23,5580200,35.23
2016-11-15,38.110001,39.139999,31.200001,32.52,6262000,32.52
2016-11-14,43.98,46.009998,34.75,38.369999,6833500,38.369999
2016-11-11,32.66,42.290001,32.630001,40.869999,11848300,40.869999
2016-11-10,28.07,33.189999,27.860001,32.389999,6572700,32.389999
2016-11-09,22.879999,29.559999,22.799999,26.809999,9988900,26.809999
2016-11-08,27.120001,30.139999,25.50,28.84,6505700,28.84
2016-11-07,27.10,28.879999,26.73,27.629999,5038100,27.629999
2016-11-04,23.52,25.85,23.469999,24.700001,6425900,24.700001
2016-11-03,25.99,25.99,23.17,23.530001,7002500,23.530001
2016-11-02,22.459999,26.15,21.57,25.43,10401900,25.43
2016-11-01,24.530001,25.58,23.00,24.26,7305800,24.26
2016-10-31,29.16,29.92,26.83,26.90,4743500,26.90
