Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,7.00,7.05,6.75,7.02,39310100,7.02
2017-04-03,6.50,6.90,6.47,6.81,42624700,6.81
2017-03-31,6.38,6.87,6.28,6.46,56471400,6.46
2017-03-30,6.30,6.52,6.20,6.29,43262800,6.29
2017-03-29,6.32,6.74,6.23,6.60,44224500,6.60
2017-03-28,6.95,7.02,6.02,6.40,73455600,6.40
2017-03-27,7.15,7.19,6.72,7.01,57537900,7.01
2017-03-24,6.64,6.94,6.46,6.61,48576500,6.61
2017-03-23,7.27,7.33,6.35,6.68,81722600,6.68
2017-03-22,7.63,7.64,7.04,7.11,56756100,7.11
2017-03-21,7.35,7.78,7.21,7.37,83039000,7.37
2017-03-20,6.84,7.27,6.61,7.08,52155500,7.057
2017-03-17,7.43,7.58,6.36,6.72,84782800,6.698169
2017-03-16,8.08,8.09,7.12,7.41,83630800,7.385928
2017-03-15,5.95,7.80,5.71,7.61,137259600,7.585278
2017-03-14,6.90,7.03,5.61,5.72,95745400,5.701418
2017-03-13,6.31,7.07,6.18,6.96,96974900,6.93739
2017-03-10,5.50,6.27,5.36,6.16,78774600,6.139989
2017-03-09,5.61,5.79,5.30,5.36,56467400,5.342588
2017-03-08,5.42,5.89,5.39,5.56,63711500,5.541938
2017-03-07,5.32,6.10,5.20,5.72,82319500,5.701418
2017-03-06,6.49,6.55,5.28,5.59,103051600,5.571841
2017-03-03,6.24,7.00,5.73,6.72,121075900,6.698169
2017-03-02,7.61,7.89,6.15,6.26,94020400,6.239664
2017-03-01,7.15,8.31,7.07,8.29,71630600,8.263069
2017-02-28,8.09,8.40,7.48,7.85,68463800,7.824499
2017-02-27,10.39,10.90,7.40,7.47,84577800,7.445733
2017-02-24,11.67,11.68,10.35,10.46,46069000,10.42602
2017-02-23,11.63,11.73,11.10,11.12,36163700,11.083876
2017-02-22,11.02,11.27,9.98,10.98,42427400,10.94433
2017-02-21,10.87,11.50,10.21,11.02,41164100,10.984201
2017-02-17,12.20,12.39,11.33,11.44,36227000,11.402836
2017-02-16,11.96,12.38,11.80,12.16,42889700,12.120497
2017-02-15,11.40,11.87,11.15,11.67,35242200,11.632089
2017-02-14,12.00,12.10,10.97,11.86,51609900,11.821472
2017-02-13,11.53,11.86,11.28,11.47,34940600,11.432739
2017-02-10,10.80,12.10,10.65,11.94,54923800,11.901212
2017-02-09,12.46,12.49,11.12,11.19,54550000,11.153648
2017-02-08,12.70,13.03,11.84,12.35,59629100,12.309881
2017-02-07,11.92,12.89,11.60,12.07,65256700,12.030789
2017-02-06,10.64,12.40,10.40,12.34,55773100,12.299913
2017-02-03,9.74,10.10,9.67,10.07,33189400,10.037287
2017-02-02,9.91,10.03,9.53,9.77,35697500,9.738262
2017-02-01,8.57,9.33,8.45,9.16,48802100,9.130243
2017-01-31,8.86,9.00,8.66,8.93,43909600,8.900991
2017-01-30,8.54,8.89,8.26,8.31,46255300,8.283005
2017-01-27,8.00,8.41,7.95,8.37,45462600,8.342809
2017-01-26,8.06,8.29,7.87,7.92,50215600,7.894271
2017-01-25,8.33,8.69,8.14,8.68,51241300,8.651803
2017-01-24,9.06,9.64,8.55,8.90,61344900,8.871087
2017-01-23,8.93,9.21,8.69,9.17,50609800,9.140211
2017-01-20,8.30,9.09,8.01,8.56,67334100,8.532193
2017-01-19,8.00,8.60,7.65,8.28,67410300,8.253102
2017-01-18,9.04,9.30,8.05,8.35,51755700,8.322875
2017-01-17,9.21,9.34,8.88,9.20,54566200,9.170113
2017-01-13,7.91,8.44,7.58,8.37,54936200,8.342809
2017-01-12,9.15,9.21,8.00,8.29,54110900,8.263069
2017-01-11,8.01,8.85,7.54,8.48,73670300,8.452452
2017-01-10,8.36,8.94,7.88,8.44,72971300,8.412582
2017-01-09,8.18,8.79,7.69,7.92,75091100,7.894271
2017-01-06,8.10,8.82,6.68,7.57,91534800,7.545408
2017-01-05,7.59,8.98,7.53,8.74,77103900,8.711607
2017-01-04,6.97,7.00,6.42,6.94,53928800,6.917455
2017-01-03,5.70,6.66,5.68,6.62,57841000,6.598494
2016-12-30,6.75,7.20,5.58,5.58,76344200,5.561873
2016-12-29,5.42,6.72,5.31,6.68,69791400,6.658299
2016-12-28,4.68,5.28,4.53,5.24,40642200,5.222977
2016-12-27,4.49,4.79,4.41,4.78,27991000,4.764472
2016-12-23,4.16,4.33,4.11,4.30,19830300,4.286031
2016-12-22,4.13,4.44,4.05,4.14,29709600,4.126551
2016-12-21,4.34,4.38,4.10,4.13,21342600,4.116584
2016-12-20,3.92,4.32,3.77,4.28,44442900,4.266096
