Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,9.65,9.79,9.46,9.79,31110800,9.79
2017-04-03,9.04,9.49,8.98,9.43,30271600,9.43
2017-03-31,8.82,9.37,8.71,8.99,35490700,8.99
2017-03-30,8.93,9.13,8.69,8.74,32045500,8.74
2017-03-29,8.97,9.31,8.86,9.18,19475000,9.18
2017-03-28,9.72,9.87,8.77,9.06,47678700,9.06
2017-03-27,9.83,9.94,9.48,9.78,38170700,9.78
2017-03-24,9.24,9.52,9.09,9.21,30805200,9.21
2017-03-23,9.75,9.87,8.85,9.33,49128600,9.33
2017-03-22,9.81,10.00,9.46,9.63,45769200,9.63
2017-03-21,9.38,9.90,9.35,9.61,48724200,9.61
2017-03-20,9.01,9.30,8.81,9.22,32990800,9.22
2017-03-17,9.18,9.41,8.73,8.92,32294800,8.92
2017-03-16,9.77,9.86,8.95,9.04,43690700,9.04
2017-03-15,7.82,9.37,7.60,9.29,58075000,9.29
2017-03-14,8.20,8.52,7.47,7.60,43910700,7.60
2017-03-13,8.20,8.42,8.01,8.33,41000100,8.33
2017-03-10,7.57,8.18,7.45,8.01,46277000,8.01
2017-03-09,7.65,7.84,7.40,7.42,30538600,7.42
2017-03-08,7.50,7.93,7.43,7.65,35085200,7.65
2017-03-07,7.66,8.12,7.49,7.80,31895800,7.80
2017-03-06,8.48,8.50,7.62,7.94,43832000,7.94
2017-03-03,8.08,8.89,7.89,8.57,52780900,8.57
2017-03-02,9.00,9.24,8.17,8.29,63263900,8.29
2017-03-01,8.95,9.84,8.73,9.65,56831000,9.65
2017-02-28,9.93,10.15,9.20,9.48,45068000,9.48
2017-02-27,11.21,11.87,9.29,9.45,63380000,9.45
2017-02-24,12.08,12.08,11.14,11.26,35660400,11.26
2017-02-23,12.12,12.28,11.57,11.60,37689400,11.60
2017-02-22,11.79,11.92,10.80,11.52,58819400,11.52
2017-02-21,11.77,12.16,11.23,11.97,34554600,11.97
2017-02-17,12.93,13.02,12.13,12.23,36976100,12.23
2017-02-16,12.66,13.04,12.52,12.84,38191300,12.84
2017-02-15,11.94,12.49,11.80,12.43,33911100,12.43
2017-02-14,12.97,13.04,11.96,12.46,51080700,12.46
2017-02-13,12.52,12.78,12.35,12.49,37047500,12.49
2017-02-10,12.03,13.10,11.98,12.97,47171600,12.97
2017-02-09,13.48,13.55,12.33,12.45,63009200,12.45
2017-02-08,13.45,13.70,13.02,13.48,46264200,13.48
2017-02-07,12.76,13.48,12.64,13.05,52502800,13.05
2017-02-06,12.49,13.24,12.09,13.24,54785700,13.24
2017-02-03,11.72,12.12,11.57,11.89,37188200,11.89
2017-02-02,11.77,11.97,11.50,11.70,40931300,11.70
2017-02-01,10.58,11.20,10.45,11.00,51127200,11.00
2017-01-31,10.84,11.11,10.77,11.08,51343600,11.08
2017-01-30,10.33,10.68,10.03,10.14,41496700,10.14
2017-01-27,9.78,10.26,9.76,10.20,42356500,10.20
2017-01-26,9.84,10.10,9.63,9.77,48673400,9.77
2017-01-25,10.40,10.60,10.07,10.57,57414500,10.57
2017-01-24,10.95,11.64,10.73,11.07,65502200,11.07
2017-01-23,10.43,11.05,10.30,10.98,56258600,10.98
2017-01-20,9.88,10.56,9.62,10.14,54969300,10.14
2017-01-19,9.67,10.07,9.41,9.81,51928300,9.81
