Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,38.73,38.959999,38.689999,38.82,9377500,38.82
2017-04-03,38.66,38.759998,38.470001,38.720001,19396000,38.720001
2017-03-31,38.52,38.610001,38.459999,38.490002,14130400,38.490002
2017-03-30,38.709999,38.869999,38.66,38.799999,15719100,38.799999
2017-03-29,39.009998,39.150002,38.939999,39.09,11724700,39.09
2017-03-28,38.990002,39.34,38.950001,39.23,13558800,39.23
2017-03-27,38.77,39.099998,38.689999,39.060001,14005400,39.060001
2017-03-24,39.16,39.310001,39.130001,39.25,10257200,39.25
2017-03-23,39.060001,39.369999,39.029999,39.240002,11176300,39.240002
2017-03-22,38.959999,39.450001,38.959999,39.290001,20406300,39.290001
2017-03-21,39.810001,39.849998,39.080002,39.169998,27084000,39.169998
2017-03-20,39.52,39.68,39.470001,39.599998,18790500,39.599998
2017-03-17,39.259998,39.259998,39.080002,39.139999,13905100,39.139999
2017-03-16,39.32,39.400002,39.240002,39.34,24412800,39.34
2017-03-15,38.240002,38.970001,38.189999,38.790001,31346500,38.790001
2017-03-14,38.209999,38.25,38.049999,38.139999,10263300,38.139999
2017-03-13,38.240002,38.369999,38.209999,38.259998,14302800,38.259998
2017-03-10,37.610001,37.700001,37.52,37.650002,8665900,37.650002
2017-03-09,37.470001,37.57,37.220001,37.470001,17380200,37.470001
2017-03-08,38.169998,38.200001,37.869999,37.91,13487300,37.91
2017-03-07,38.049999,38.080002,37.889999,37.959999,12475300,37.959999
2017-03-06,37.84,37.860001,37.689999,37.84,6297300,37.84
2017-03-03,37.880001,37.959999,37.77,37.869999,13350000,37.869999
2017-03-02,37.91,37.98,37.77,37.77,20274600,37.77
2017-03-01,38.369999,38.68,38.34,38.599998,13920200,38.599998
2017-02-28,38.16,38.330002,38.09,38.200001,16580600,38.200001
2017-02-27,38.220001,38.349998,38.18,38.299999,11301300,38.299999
2017-02-24,38.439999,38.580002,38.380001,38.540001,12364600,38.540001
2017-02-23,39.110001,39.150002,38.849998,38.959999,15638700,38.959999
2017-02-22,38.959999,39.029999,38.900002,39.029999,11006100,39.029999
2017-02-21,38.639999,38.830002,38.619999,38.82,11900700,38.82
2017-02-17,38.240002,38.490002,38.240002,38.459999,10483300,38.459999
2017-02-16,38.810001,38.830002,38.639999,38.740002,10067900,38.740002
2017-02-15,38.57,38.849998,38.540001,38.82,19227600,38.82
2017-02-14,38.119999,38.299999,37.900002,38.240002,16623900,38.240002
2017-02-13,38.189999,38.43,38.16,38.25,27521600,38.25
2017-02-10,37.790001,38.049999,37.759998,38.009998,14085500,38.009998
2017-02-09,37.310001,37.869999,37.310001,37.810001,21662000,37.810001
2017-02-08,37.200001,37.43,37.139999,37.310001,23362800,37.310001
2017-02-07,36.939999,36.98,36.689999,36.77,13593300,36.77
2017-02-06,36.869999,36.93,36.740002,36.790001,17226900,36.790001
2017-02-03,36.630001,36.709999,36.52,36.630001,16390700,36.630001
2017-02-02,36.57,36.720001,36.529999,36.68,10021900,36.68
2017-02-01,36.880001,36.919998,36.59,36.669998,11736500,36.669998
2017-01-31,36.619999,36.75,36.57,36.689999,13614900,36.689999
2017-01-30,36.619999,36.689999,36.450001,36.68,8751200,36.68
2017-01-27,36.830002,36.93,36.669998,36.82,11017500,36.82
2017-01-26,36.91,37.02,36.799999,36.849998,19013000,36.849998
2017-01-25,36.619999,36.799999,36.610001,36.779999,12562500,36.779999
2017-01-24,36.459999,36.73,36.450001,36.619999,10797600,36.619999
2017-01-23,36.34,36.52,36.290001,36.470001,16242200,36.470001
2017-01-20,36.380001,36.470001,36.139999,36.290001,18588600,36.290001
2017-01-19,36.540001,36.560001,36.259998,36.43,15420100,36.43
2017-01-18,36.720001,36.740002,36.540001,36.580002,16101400,36.580002
2017-01-17,36.389999,36.419998,36.27,36.400002,11079000,36.400002
2017-01-13,36.540001,36.689999,36.52,36.57,11175100,36.57
2017-01-12,36.400002,36.490002,36.240002,36.490002,12238700,36.490002
2017-01-11,36.400002,36.639999,36.23,36.529999,22286800,36.529999
2017-01-10,36.09,36.52,36.07,36.27,29883200,36.27
2017-01-09,35.84,35.919998,35.75,35.799999,9202800,35.799999
2017-01-06,35.900002,35.900002,35.68,35.75,17757600,35.75
2017-01-05,35.889999,36.110001,35.869999,36.02,23946100,36.02
2017-01-04,35.25,35.669998,35.220001,35.509998,42525400,35.509998
2017-01-03,35.099998,35.34,35.040001,35.150002,18604700,35.150002
2016-12-30,35.00,35.029999,34.639999,34.709999,12084700,34.709999
2016-12-29,34.669998,34.939999,34.630001,34.810001,16680800,34.810001
2016-12-28,34.470001,34.509998,34.299999,34.360001,15297600,34.360001
2016-12-27,34.02,34.099998,34.009998,34.049999,11920900,34.049999
2016-12-23,33.959999,34.049999,33.91,33.970001,14261000,33.970001
2016-12-22,34.110001,34.130001,33.939999,34.060001,22593200,34.060001
2016-12-21,35.310001,35.330002,35.110001,35.110001,19888000,34.421
2016-12-20,35.27,35.349998,35.200001,35.23,14651600,34.538644
2016-12-19,35.380001,35.470001,35.290001,35.360001,20622700,34.666094
2016-12-16,35.75,35.810001,35.400002,35.50,30509800,34.803346
2016-12-15,35.869999,36.029999,35.799999,35.880001,26737200,35.17589
2016-12-14,36.669998,36.91,36.060001,36.200001,32818500,35.48961
2016-12-13,36.900002,37.110001,36.84,37.009998,23956400,36.283712
2016-12-12,36.68,36.82,36.43,36.610001,28688000,35.891564
2016-12-09,37.380001,37.50,37.279999,37.470001,12202900,36.734688
2016-12-08,37.490002,37.77,37.400002,37.689999,17728800,36.950368
2016-12-07,37.369999,37.82,37.34,37.689999,16420200,36.950368
2016-12-06,37.259998,37.299999,37.09,37.259998,13160200,36.528806
2016-12-05,37.099998,37.279999,37.07,37.259998,11648900,36.528806
2016-12-02,37.240002,37.50,37.23,37.310001,12232200,36.577828
2016-12-01,37.599998,37.759998,37.470001,37.59,14747700,36.852332
2016-11-30,37.529999,37.73,37.470001,37.59,16379900,36.852332
2016-11-29,37.349998,37.59,37.25,37.459999,16069000,36.724882
2016-11-28,37.389999,37.470001,37.220001,37.23,15895200,36.499396
2016-11-25,37.169998,37.23,37.07,37.09,8110100,36.362144
2016-11-23,36.639999,36.810001,36.599998,36.740002,12015100,36.019014
2016-11-22,36.889999,36.93,36.73,36.880001,15085100,36.156266
2016-11-21,36.220001,36.330002,36.16,36.240002,11379100,35.528826
2016-11-18,35.970001,36.02,35.790001,35.939999,13194400,35.23471
2016-11-17,35.860001,36.110001,35.84,35.970001,14095000,35.264124
2016-11-16,35.77,35.939999,35.66,35.830002,19616400,35.126872
2016-11-15,35.970001,36.400002,35.93,36.259998,24991400,35.54843
2016-11-14,35.740002,35.98,35.48,35.759998,26510200,35.058242
2016-11-11,35.740002,36.09,35.529999,35.98,28500300,35.273926
2016-11-10,36.740002,36.799999,36.02,36.389999,46039500,35.67588
2016-11-09,36.599998,37.130001,36.560001,36.740002,48911500,36.019014
2016-11-08,37.139999,37.900002,37.09,37.630001,23078100,36.891548
2016-11-07,37.139999,37.509998,37.119999,37.360001,24788400,36.626846
2016-11-04,36.32,36.41,36.139999,36.240002,19415800,35.528826
2016-11-03,36.759998,36.810001,36.450001,36.560001,15621500,35.842546
2016-11-02,36.82,36.91,36.34,36.619999,24420300,35.901366
2016-11-01,37.470001,37.509998,36.779999,37.099998,24502700,36.371946
2016-10-31,36.869999,37.049999,36.84,36.860001,11429600,36.136658
2016-10-28,36.959999,37.150002,36.650002,36.849998,24366200,36.126852
2016-10-27,37.41,37.450001,37.18,37.259998,14736900,36.528806
2016-10-26,37.59,37.759998,37.450001,37.59,13053800,36.852332
2016-10-25,38.110001,38.150002,37.919998,37.970001,10771200,37.224876
2016-10-24,38.23,38.299999,38.029999,38.110001,9859700,37.362128
2016-10-21,37.650002,37.889999,37.610001,37.830002,9429000,37.087624
2016-10-20,37.77,37.970001,37.709999,37.849998,8927100,37.107228
2016-10-19,37.84,38.009998,37.700001,37.900002,9950900,37.15625
2016-10-18,37.98,38.00,37.790001,37.860001,15693700,37.117034
2016-10-17,37.290001,37.400002,37.189999,37.25,13330800,36.519004
2016-10-14,37.669998,37.779999,37.48,37.59,20872300,36.852332
2016-10-13,37.049999,37.380001,36.810001,37.23,26440800,36.499396
2016-10-12,37.709999,37.889999,37.610001,37.830002,16034100,37.087624
2016-10-11,38.139999,38.189999,37.73,37.880001,26881200,37.136642
2016-10-10,38.73,39.169998,38.68,39.040001,20312600,38.273878
2016-10-07,38.619999,38.740002,38.240002,38.490002,18520100,37.734672
2016-10-06,38.580002,38.860001,38.52,38.799999,12108400,38.038586
2016-10-05,38.419998,38.689999,38.330002,38.66,23221800,37.901334
2016-10-04,38.209999,38.240002,37.66,37.740002,17799300,36.99939
2016-10-03,37.830002,38.07,37.73,38.049999,13187500,37.303304
2016-09-30,37.830002,38.189999,37.75,38.009998,19211000,37.264088
2016-09-29,38.27,38.43,37.77,37.919998,21940300,37.175854
2016-09-28,38.16,38.34,37.77,38.32,16664700,37.568006
2016-09-27,37.900002,38.029999,37.73,38.00,17987300,37.254286
2016-09-26,37.740002,37.810001,37.52,37.52,21302700,36.783706
2016-09-23,38.389999,38.540001,38.279999,38.310001,16589500,37.558204
2016-09-22,38.93,39.07,38.849998,38.959999,19453800,38.195446
2016-09-21,38.349998,38.860001,38.130001,38.82,29226100,38.058194
2016-09-20,38.110001,38.169998,37.889999,37.889999,13309700,37.146444
2016-09-19,37.98,38.099998,37.75,37.810001,16969800,37.068016
2016-09-16,37.68,37.810001,37.439999,37.73,21740900,36.989584
2016-09-15,37.610001,38.07,37.48,37.950001,24609800,37.205268
