Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,7.54,7.83,7.54,7.79,18122600,7.79
2017-04-03,7.49,7.50,7.41,7.44,9267000,7.44
2017-03-31,7.66,7.67,7.51,7.57,10353100,7.57
2017-03-30,7.59,7.67,7.46,7.57,9394800,7.57
2017-03-29,7.65,7.72,7.60,7.64,9904800,7.64
2017-03-28,7.45,7.56,7.43,7.49,4657500,7.49
2017-03-27,7.56,7.57,7.41,7.43,10488500,7.43
2017-03-24,7.46,7.50,7.43,7.48,5229100,7.48
2017-03-23,7.34,7.45,7.25,7.43,8927600,7.43
2017-03-22,7.36,7.44,7.28,7.29,8850200,7.29
2017-03-21,7.49,7.50,7.34,7.46,14613100,7.46
2017-03-20,7.21,7.43,7.21,7.43,8361600,7.43
2017-03-17,7.09,7.16,7.04,7.12,4779500,7.12
2017-03-16,7.06,7.19,7.00,7.03,12236300,7.03
2017-03-15,7.21,7.25,7.17,7.19,10771000,7.19
2017-03-14,7.34,7.35,7.09,7.12,13494000,7.12
2017-03-13,7.37,7.42,7.24,7.28,13762600,7.28
2017-03-10,7.33,7.37,7.18,7.35,23519800,7.35
2017-03-09,7.13,7.22,7.09,7.19,9269700,7.19
2017-03-08,7.08,7.14,6.99,7.04,16052300,7.04
2017-03-07,6.89,6.94,6.83,6.85,17072700,6.85
2017-03-06,7.06,7.15,6.91,6.92,20035100,6.92
2017-03-03,6.77,6.87,6.73,6.84,13105600,6.84
2017-03-02,6.74,6.82,6.62,6.80,14468800,6.80
2017-03-01,6.74,6.80,6.70,6.77,16008800,6.77
2017-02-28,6.59,6.75,6.58,6.69,15871900,6.69
2017-02-27,6.50,6.54,6.48,6.53,13952800,6.53
2017-02-24,6.68,6.77,6.61,6.76,17509700,6.76
2017-02-23,6.72,6.78,6.59,6.65,26725000,6.65
2017-02-22,6.53,6.67,6.49,6.57,19249900,6.57
2017-02-21,6.76,6.77,6.50,6.55,38679400,6.55
2017-02-17,7.20,7.23,7.14,7.16,5615400,7.16
2017-02-16,7.34,7.36,7.15,7.17,14298300,7.17
2017-02-15,7.45,7.46,7.33,7.37,13322900,7.37
2017-02-14,7.30,7.40,7.25,7.34,11772700,7.34
2017-02-13,7.45,7.50,7.36,7.37,12483900,7.37
2017-02-10,7.57,7.65,7.56,7.60,8129800,7.60
