Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,16.76,16.90,15.76,15.93,20320700,15.93
2017-04-03,16.17,17.50,16.00,16.32,29667400,16.32
2017-03-31,15.66,16.23,15.43,16.17,18354200,16.17
2017-03-30,15.52,15.91,15.35,15.64,20415600,15.64
2017-03-29,15.51,15.74,15.16,15.49,14862500,15.49
2017-03-28,17.15,17.190001,15.56,15.63,29207500,15.63
2017-03-27,19.66,19.90,17.18,17.51,39850400,17.51
2017-03-24,18.370001,19.90,17.57,18.219999,46404000,18.219999
2017-03-23,18.059999,19.129999,17.26,18.969999,32614000,18.969999
2017-03-22,17.870001,18.389999,17.190001,17.73,39931900,17.73
2017-03-21,15.72,17.879999,15.46,17.559999,60587000,17.559999
2017-03-20,16.26,16.35,15.88,16.35,15757200,16.35
2017-03-17,16.459999,16.530001,15.83,16.32,22276000,16.32
2017-03-16,17.200001,17.32,16.65,16.700001,22851200,16.700001
2017-03-15,18.35,18.48,17.110001,17.42,28216200,17.42
2017-03-14,18.290001,19.07,18.01,18.82,23567700,18.82
2017-03-13,18.780001,18.98,18.10,18.15,15027200,18.15
2017-03-10,19.09,19.66,18.870001,18.90,21659300,18.90
2017-03-09,19.459999,20.139999,19.01,19.49,22614700,19.49
2017-03-08,19.01,19.809999,18.639999,19.66,20045900,19.66
2017-03-07,19.40,19.82,18.75,19.40,18291200,19.40
2017-03-06,20.059999,20.24,19.24,19.40,16924600,19.40
2017-03-03,20.85,20.91,19.969999,20.129999,19344300,20.129999
2017-03-02,21.379999,21.860001,20.549999,21.43,21973700,21.43
2017-03-01,20.33,21.41,20.10,21.34,21157900,21.34
2017-02-28,21.43,22.530001,21.15,22.299999,20340000,22.299999
2017-02-27,21.50,21.82,20.26,21.200001,18269100,21.200001
2017-02-24,23.60,23.82,21.299999,21.440001,25712500,21.440001
2017-02-23,20.959999,22.629999,20.85,21.969999,24163400,21.969999
2017-02-22,21.040001,21.629999,20.35,20.870001,17798900,20.870001
2017-02-21,19.68,20.84,19.530001,20.690001,15951800,20.690001
2017-02-17,21.10,21.389999,20.049999,20.25,18527600,20.25
2017-02-16,19.90,22.16,19.82,20.110001,32269500,20.110001
2017-02-15,18.709999,19.99,18.49,19.809999,23785500,19.809999
2017-02-14,20.48,20.549999,18.73,18.75,19519800,18.75
2017-02-13,21.17,21.27,20.389999,20.530001,17069900,20.530001
2017-02-10,22.15,22.26,21.610001,21.91,14609000,21.91
2017-02-09,23.42,23.48,22.200001,22.65,14869700,22.65
2017-02-08,24.00,24.559999,23.32,23.620001,18083000,23.620001
2017-02-07,23.370001,23.91,23.25,23.82,14363400,23.82
2017-02-06,24.01,24.129999,23.23,23.469999,17133000,23.469999
2017-02-03,23.48,23.799999,22.98,23.530001,15554200,23.530001
2017-02-02,24.51,24.950001,24.030001,24.469999,17312100,24.469999
2017-02-01,23.959999,24.76,23.540001,24.139999,20092800,24.139999
2017-01-31,25.610001,26.530001,24.90,24.92,23151000,24.92
2017-01-30,24.82,27.23,24.809999,25.200001,31055800,25.200001
2017-01-27,24.25,24.65,23.68,23.83,12181500,23.83
2017-01-26,24.309999,24.91,23.870001,24.41,16764600,24.41
2017-01-25,24.610001,24.82,23.93,24.10,14193400,24.10
2017-01-24,27.23,27.309999,25.09,25.34,19358800,25.34
2017-01-23,28.50,29.549999,27.91,27.950001,18085300,27.950001
2017-01-20,30.15,30.379999,28.40,28.40,21876000,28.40
2017-01-19,29.780001,31.35,29.59,30.809999,14728100,30.809999
2017-01-18,30.09,30.49,29.27,30.190001,13970900,30.190001
2017-01-17,31.48,31.67,30.18,30.40,15550000,30.40
2017-01-13,30.219999,31.299999,29.799999,30.629999,13606300,30.629999
2017-01-12,31.059999,33.630001,30.450001,30.52,29532700,30.52
2017-01-11,6.41,6.64,6.07,6.12,7559200,30.600001
2017-01-10,6.33,6.57,6.23,6.38,4305400,31.90
2017-01-09,6.51,6.68,6.28,6.48,4553700,32.400002
2017-01-06,6.55,6.65,6.23,6.51,6949300,32.55
2017-01-05,6.84,7.08,6.66,6.68,5396400,33.400002
2017-01-04,7.31,7.31,6.57,6.73,6443200,33.650002
2017-01-03,8.03,8.14,7.47,7.50,6726800,37.500001
2016-12-30,8.20,8.92,8.20,8.75,6940900,43.750001
2016-12-29,8.19,8.61,8.04,8.38,7881800,41.900002
2016-12-28,7.55,8.18,7.50,8.16,5258500,40.80
2016-12-27,7.83,7.84,7.56,7.63,2442500,38.150002
2016-12-23,7.99,8.06,7.81,7.83,2837200,39.150002
2016-12-22,7.66,7.99,7.58,7.89,4368100,39.450001
2016-12-21,7.82,7.86,7.62,7.67,3774700,38.349999
2016-12-20,8.07,8.11,7.82,7.91,4406400,39.55
2016-12-19,8.65,8.66,8.21,8.23,5157500,41.150002
2016-12-16,8.86,9.11,8.75,8.85,5322200,44.250001
2016-12-15,9.08,9.34,8.93,9.08,4998400,45.400002
2016-12-14,9.52,9.60,8.81,9.37,10729500,46.849999
2016-12-13,9.21,9.74,9.15,9.43,5315900,47.150002
2016-12-12,9.13,9.45,9.09,9.25,4974600,46.250001
2016-12-09,9.49,9.51,9.04,9.14,5773300,45.700001
2016-12-08,9.29,9.97,9.20,9.31,9549000,46.55
2016-12-07,9.15,9.39,8.78,9.27,7497000,46.349999
2016-12-06,9.53,9.66,9.13,9.21,5444000,46.05
2016-12-05,10.63,10.74,9.85,9.93,6575200,49.650002
2016-12-02,11.56,11.68,10.79,11.44,7289300,57.200002
2016-12-01,10.55,11.82,10.48,11.43,8082200,57.150002
2016-11-30,10.28,10.71,10.23,10.60,6088800,53.000001
2016-11-29,10.78,10.95,10.30,10.59,4272700,52.950002
2016-11-28,10.77,11.10,10.55,10.75,5403300,53.750001
2016-11-25,10.63,10.84,10.53,10.57,1874800,52.849999
2016-11-23,10.87,11.04,10.59,10.69,4138000,53.450002
2016-11-22,10.50,11.11,10.41,10.66,4959100,53.30
2016-11-21,11.24,11.26,10.46,10.50,5082000,52.500001
2016-11-18,11.63,11.92,11.40,11.52,4754400,57.599999
2016-11-17,12.33,12.43,11.61,11.61,5301800,58.05
2016-11-16,12.73,12.75,12.12,12.39,5394100,61.950002
2016-11-15,13.14,13.44,12.28,12.30,8088700,61.500001
2016-11-14,13.70,14.42,13.280001,13.42,9044300,67.099999
2016-11-11,14.660001,14.980001,13.430001,13.54,10501800,67.699998
2016-11-10,12.76,15.110001,12.52,14.180001,17557100,70.900003
2016-11-09,15.880001,15.95,13.130001,13.55,20420600,67.750001
2016-11-08,15.32,15.69,14.07,14.27,9416800,71.35
2016-11-07,16.90,17.27,15.20,15.30,9669100,76.500001
2016-11-04,19.85,20.630001,18.810001,20.39,12549000,101.949998
2016-11-03,18.29,20.84,18.110001,20.380001,12556100,101.900003
2016-11-02,17.70,18.680001,17.510001,18.32,11521900,91.60
2016-11-01,16.610001,19.12,16.610001,17.57,14936800,87.85
2016-10-31,15.69,16.80,15.62,16.59,6613600,82.949998
2016-10-28,14.710001,16.40,14.37,15.880001,12468600,79.400003
2016-10-27,13.680001,14.75,13.65,14.64,5754500,73.199998
2016-10-26,14.060001,14.29,13.52,14.130001,6048800,70.650003
2016-10-25,13.20,13.80,13.17,13.45,5669200,67.250001
2016-10-24,13.580001,13.60,13.10,13.230001,4804200,66.150003
2016-10-21,15.010001,15.15,14.180001,14.230001,6061200,71.150003
2016-10-20,15.310001,15.62,14.75,14.85,7192700,74.250001
2016-10-19,15.30,15.75,15.010001,15.260001,5240000,76.300004
2016-10-18,16.460001,16.70,15.95,16.02,5539900,80.10
2016-10-17,17.360001,17.880001,17.15,17.410001,5814500,87.050004
2016-10-14,16.90,17.80,16.65,17.580001,8448000,87.900003
2016-10-13,18.210001,19.17,17.45,17.97,12421900,89.85
2016-10-12,16.72,17.30,16.10,16.910001,8390400,84.550004
2016-10-11,15.410001,17.32,15.360001,16.82,10332300,84.10
2016-10-10,15.50,15.610001,14.930001,15.19,4045100,75.949998
2016-10-07,15.660001,16.57,15.530001,15.89,7140600,79.449998
2016-10-06,16.19,16.44,15.710001,15.830001,5359900,79.150003
2016-10-05,16.02,16.25,15.85,16.14,5276700,80.699998
2016-10-04,16.22,17.210001,15.74,16.39,10579600,81.949998
2016-10-03,17.030001,17.29,16.35,16.45,6355700,82.250001
2016-09-30,16.85,17.47,16.22,16.65,8995800,83.250001
2016-09-29,16.180001,19.17,15.67,18.00,14581300,90.000001
2016-09-28,16.180001,17.32,15.94,16.030001,6124300,80.150003
2016-09-27,18.260001,18.55,16.12,16.380001,6305200,81.900003
2016-09-26,17.74,18.660001,17.510001,18.280001,8243900,91.400003
2016-09-23,16.37,16.680001,16.080001,16.49,5244400,82.449998
2016-09-22,16.460001,16.87,16.14,16.20,5328300,81.000001
2016-09-21,20.02,20.62,17.15,17.40,10183600,87.000001
2016-09-20,19.95,21.280001,19.92,20.59,5202600,102.949998
