Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,51.25,51.650002,51.150002,51.459999,9981300,51.459999
2017-04-03,51.310001,51.310001,50.830002,51.299999,15475800,51.299999
2017-03-31,51.169998,51.560001,51.130001,51.310001,9991000,51.310001
2017-03-30,51.43,51.43,50.970001,51.110001,19711200,51.110001
2017-03-29,51.630001,51.68,51.290001,51.509998,6955500,51.509998
2017-03-28,51.68,51.740002,51.419998,51.650002,8477800,51.650002
2017-03-27,52.099998,52.209999,51.490002,51.689999,11821400,51.689999
2017-03-24,51.73,52.080002,51.599998,51.889999,12407100,51.889999
2017-03-23,51.849998,52.169998,51.560001,51.700001,22565300,51.700001
2017-03-22,51.82,52.23,51.650002,51.860001,25252800,51.860001
2017-03-21,50.919998,51.799999,50.889999,51.610001,25417100,51.610001
2017-03-20,51.349998,51.450001,50.75,50.889999,7148000,50.889999
2017-03-17,51.099998,51.52,51.040001,51.23,15128500,51.23
2017-03-16,51.779999,51.779999,51.209999,51.310001,18728400,50.923002
2017-03-15,51.240002,52.139999,51.139999,51.880001,22619200,51.488703
2017-03-14,51.049999,51.200001,50.889999,51.060001,11670500,50.674888
2017-03-13,50.919998,51.139999,50.860001,51.110001,14058000,50.72451
2017-03-10,50.810001,51.060001,50.639999,50.959999,11491800,50.57564
2017-03-09,50.77,50.950001,50.50,50.540001,12842800,50.158809
2017-03-08,50.950001,51.00,50.549999,50.650002,18393900,50.26798
2017-03-07,51.360001,51.580002,51.32,51.389999,17951700,51.002397
2017-03-06,51.43,51.529999,51.240002,51.419998,7616800,51.032169
2017-03-03,51.68,51.709999,51.09,51.52,17575000,51.131417
2017-03-02,51.130001,52.00,51.060001,51.68,17372800,51.290211
2017-03-01,51.029999,51.689999,50.98,51.310001,29121600,50.923002
2017-02-28,51.290001,51.900002,51.200001,51.77,14410400,51.379532
2017-02-27,51.490002,51.529999,51.23,51.299999,13982900,50.913076
2017-02-24,50.990002,51.59,50.990002,51.59,18629700,51.200889
2017-02-23,50.52,51.00,50.41,50.82,15003600,50.436696
2017-02-22,50.09,50.400002,49.889999,50.299999,16018600,49.920618
2017-02-21,49.50,50.200001,49.330002,50.09,11358500,49.712203
2017-02-17,49.669998,49.720001,49.290001,49.57,9973500,49.196124
2017-02-16,49.060001,49.560001,49.060001,49.540001,14001100,49.166352
2017-02-15,48.82,49.07,48.650002,49.049999,18925400,48.680046
2017-02-14,49.459999,49.48,48.91,49.169998,18784300,48.79914
2017-02-13,49.330002,49.580002,49.16,49.529999,13042800,49.156425
2017-02-10,48.849998,49.360001,48.84,49.290001,9479600,48.918237
2017-02-09,49.349998,49.470001,48.860001,48.98,14496000,48.610574
2017-02-08,49.040001,49.490002,48.950001,49.400002,15882000,49.027408
2017-02-07,48.880001,49.00,48.75,48.919998,6109100,48.551025
2017-02-06,49.09,49.119999,48.75,48.799999,7042000,48.431932
2017-02-03,48.98,49.099998,48.790001,48.900002,11336600,48.53118
2017-02-02,48.48,48.84,48.189999,48.84,15661100,48.471631
2017-02-01,48.919998,48.939999,48.189999,48.330002,24379500,47.965479
2017-01-31,48.470001,49.220001,48.419998,49.18,15916500,48.809066
2017-01-30,48.41,48.59,48.139999,48.43,9319900,48.064723
2017-01-27,48.490002,48.639999,48.290001,48.389999,7228800,48.025024
2017-01-26,48.360001,48.630001,48.18,48.400002,11488200,48.034951
2017-01-25,48.16,48.43,48.110001,48.380001,19230000,48.015101
2017-01-24,48.380001,48.59,48.290001,48.380001,11049400,48.015101
2017-01-23,48.709999,48.82,48.34,48.389999,10625500,48.025024
2017-01-20,48.619999,48.779999,48.330002,48.639999,11874200,48.273138
2017-01-19,48.700001,48.98,48.43,48.549999,13800500,48.183817
2017-01-18,48.900002,49.220001,48.900002,48.98,13230900,48.610574
2017-01-17,48.669998,49.200001,48.630001,49.040001,15326000,48.670123
2017-01-13,48.48,48.650002,48.200001,48.509998,12173300,48.144118
2017-01-12,48.57,48.66,48.290001,48.580002,9410400,48.213593
2017-01-11,48.029999,48.59,48.02,48.540001,13397700,48.173894
2017-01-10,48.18,48.200001,47.849998,48.040001,11224200,47.677665
2017-01-09,49.009998,49.029999,48.18,48.189999,13797400,47.826532
2017-01-06,48.439999,48.919998,48.349998,48.830002,10967200,48.461708
2017-01-05,48.740002,48.759998,48.16,48.68,16306400,48.312838
