Date,Open,High,Low,Close,Volume,Adj Close
2017-03-31,10.52,10.66,10.51,10.64,18571600,10.64
2017-03-30,10.47,10.59,10.44,10.57,25792400,10.57
2017-03-29,10.18,10.40,10.17,10.37,22163300,10.37
2017-03-28,10.11,10.23,10.09,10.15,17209600,10.15
2017-03-27,9.93,10.05,9.88,10.04,22423000,10.04
2017-03-24,10.05,10.10,9.98,10.09,16115000,10.09
2017-03-23,10.04,10.07,9.99,10.01,18601100,10.01
2017-03-22,10.02,10.14,9.88,10.12,22442800,10.12
2017-03-21,10.30,10.33,10.07,10.11,24905200,10.11
2017-03-20,10.26,10.36,10.22,10.27,13767800,10.27
2017-03-17,10.42,10.43,10.32,10.33,17883700,10.33
2017-03-16,10.39,10.40,10.29,10.36,22429000,10.36
2017-03-15,10.31,10.41,10.24,10.38,34094800,10.38
2017-03-14,10.11,10.21,10.02,10.19,43678900,10.19
2017-03-13,10.29,10.34,10.22,10.28,41080000,10.28
2017-03-10,10.52,10.52,10.25,10.29,43623400,10.29
2017-03-09,10.57,10.59,10.32,10.53,48216300,10.53
2017-03-08,11.11,11.22,10.62,10.67,65761200,10.67
2017-03-07,11.38,11.39,11.26,11.27,10927500,11.27
2017-03-06,11.32,11.36,11.24,11.28,15630400,11.28
2017-03-03,11.19,11.33,11.18,11.29,14425600,11.29
2017-03-02,11.21,11.30,11.15,11.17,21135000,11.17
2017-03-01,11.51,11.55,11.40,11.40,14005500,11.40
2017-02-28,11.36,11.47,11.28,11.45,16766300,11.45
2017-02-27,11.56,11.57,11.45,11.47,9685300,11.47
2017-02-24,11.44,11.51,11.44,11.46,11275700,11.46
2017-02-23,11.61,11.65,11.50,11.53,18498800,11.53
2017-02-22,11.38,11.40,11.32,11.36,17902400,11.36
2017-02-21,11.63,11.64,11.51,11.54,24936900,11.54
2017-02-17,11.32,11.42,11.31,11.39,13694900,11.39
2017-02-16,11.44,11.45,11.27,11.41,13757400,11.41
2017-02-15,11.33,11.45,11.32,11.36,19562900,11.36
2017-02-14,11.48,11.49,11.35,11.38,18470900,11.38
2017-02-13,11.37,11.40,11.30,11.32,20444400,11.32
2017-02-10,11.53,11.58,11.48,11.50,26497500,11.50
2017-02-09,11.23,11.39,11.23,11.35,20394800,11.35
2017-02-08,11.11,11.28,11.04,11.23,27394700,11.23
2017-02-07,11.21,11.23,11.11,11.19,36732600,11.19
2017-02-06,11.52,11.54,11.34,11.38,24105000,11.38
2017-02-03,11.49,11.62,11.46,11.54,20722900,11.54
2017-02-02,11.57,11.59,11.43,11.51,19631200,11.51
2017-02-01,11.42,11.55,11.33,11.48,20097700,11.48
2017-01-31,11.40,11.48,11.28,11.32,18648100,11.32
2017-01-30,11.35,11.35,11.23,11.28,16268500,11.28
2017-01-27,11.40,11.44,11.27,11.40,19644100,11.40
2017-01-26,11.44,11.58,11.42,11.53,21672900,11.53
2017-01-25,11.30,11.46,11.27,11.31,18769100,11.31
2017-01-24,11.37,11.48,11.36,11.37,15005000,11.37
2017-01-23,11.21,11.38,11.21,11.32,14613500,11.32
2017-01-20,11.45,11.50,11.37,11.39,24163200,11.39
2017-01-19,11.24,11.29,11.10,11.17,15555200,11.17
2017-01-18,11.19,11.37,11.08,11.16,29400700,11.16
