PoloniexChartData [date=Thu May 05 20:00:00 EDT 2016, high=3.9E-7, low=3.4E-7, open=3.8E-7, close=3.8E-7, volume=0.12034122, quoteVolume=330841.01150916, weightedAverage=3.6E-7]
PoloniexChartData [date=Fri May 06 20:00:00 EDT 2016, high=4.0E-7, low=3.7E-7, open=3.8E-7, close=3.7E-7, volume=0.06117503, quoteVolume=157956.04919117, weightedAverage=3.8E-7]
PoloniexChartData [date=Sat May 07 20:00:00 EDT 2016, high=4.0E-7, low=3.7E-7, open=3.8E-7, close=3.7E-7, volume=0.0386895, quoteVolume=103880.63182112, weightedAverage=3.7E-7]
PoloniexChartData [date=Sun May 08 20:00:00 EDT 2016, high=4.0E-7, low=3.7E-7, open=3.9E-7, close=4.0E-7, volume=0.08513423, quoteVolume=222171.96602921, weightedAverage=3.8E-7]
PoloniexChartData [date=Mon May 09 20:00:00 EDT 2016, high=3.9E-7, low=3.6E-7, open=3.9E-7, close=3.8E-7, volume=0.11339478, quoteVolume=304083.29540149, weightedAverage=3.7E-7]
PoloniexChartData [date=Tue May 10 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=3.8E-7, close=4.0E-7, volume=0.12703208, quoteVolume=318140.92766186, weightedAverage=3.9E-7]
PoloniexChartData [date=Wed May 11 20:00:00 EDT 2016, high=4.1E-7, low=3.5E-7, open=3.9E-7, close=3.8E-7, volume=0.17164561, quoteVolume=442766.30405984, weightedAverage=3.8E-7]
PoloniexChartData [date=Thu May 12 20:00:00 EDT 2016, high=3.7E-7, low=3.6E-7, open=3.7E-7, close=3.6E-7, volume=0.00681646, quoteVolume=18766.92391375, weightedAverage=3.6E-7]
PoloniexChartData [date=Fri May 13 20:00:00 EDT 2016, high=3.7E-7, low=3.3E-7, open=3.7E-7, close=3.3E-7, volume=0.23132514, quoteVolume=681156.23713181, weightedAverage=3.3E-7]
PoloniexChartData [date=Sat May 14 20:00:00 EDT 2016, high=3.9E-7, low=3.4E-7, open=3.5E-7, close=3.5E-7, volume=0.12029827, quoteVolume=328577.0216422, weightedAverage=3.6E-7]
PoloniexChartData [date=Sun May 15 20:00:00 EDT 2016, high=4.0E-7, low=3.3E-7, open=3.5E-7, close=3.8E-7, volume=0.23251155, quoteVolume=610478.32981458, weightedAverage=3.8E-7]
PoloniexChartData [date=Mon May 16 20:00:00 EDT 2016, high=3.9E-7, low=3.4E-7, open=3.9E-7, close=3.4E-7, volume=0.11312498, quoteVolume=311601.03869323, weightedAverage=3.6E-7]
PoloniexChartData [date=Tue May 17 20:00:00 EDT 2016, high=3.9E-7, low=2.8E-7, open=3.4E-7, close=3.8E-7, volume=0.45619981, quoteVolume=1314784.8967771, weightedAverage=3.4E-7]
PoloniexChartData [date=Wed May 18 20:00:00 EDT 2016, high=4.0E-7, low=2.8E-7, open=3.8E-7, close=3.6E-7, volume=0.92855415, quoteVolume=3010470.6340964, weightedAverage=3.0E-7]
PoloniexChartData [date=Thu May 19 20:00:00 EDT 2016, high=3.9E-7, low=3.6E-7, open=3.6E-7, close=3.8E-7, volume=0.0886827, quoteVolume=238132.67651684, weightedAverage=3.7E-7]
PoloniexChartData [date=Fri May 20 20:00:00 EDT 2016, high=3.9E-7, low=3.6E-7, open=3.7E-7, close=3.8E-7, volume=0.32183251, quoteVolume=891304.67723789, weightedAverage=3.6E-7]
PoloniexChartData [date=Sat May 21 20:00:00 EDT 2016, high=3.7E-7, low=3.4E-7, open=3.7E-7, close=3.6E-7, volume=0.04759071, quoteVolume=135265.66431944, weightedAverage=3.5E-7]
PoloniexChartData [date=Sun May 22 20:00:00 EDT 2016, high=3.9E-7, low=3.6E-7, open=3.6E-7, close=3.9E-7, volume=0.09077576, quoteVolume=242092.02389603, weightedAverage=3.7E-7]
PoloniexChartData [date=Mon May 23 20:00:00 EDT 2016, high=3.9E-7, low=3.5E-7, open=3.9E-7, close=3.5E-7, volume=0.14486301, quoteVolume=389215.12246275, weightedAverage=3.7E-7]
PoloniexChartData [date=Tue May 24 20:00:00 EDT 2016, high=3.7E-7, low=3.5E-7, open=3.6E-7, close=3.5E-7, volume=0.01856313, quoteVolume=52446.24847306, weightedAverage=3.5E-7]
PoloniexChartData [date=Wed May 25 20:00:00 EDT 2016, high=3.7E-7, low=3.3E-7, open=3.5E-7, close=3.3E-7, volume=0.19450118, quoteVolume=572515.19708047, weightedAverage=3.3E-7]
PoloniexChartData [date=Thu May 26 20:00:00 EDT 2016, high=3.6E-7, low=3.3E-7, open=3.3E-7, close=3.3E-7, volume=0.051772, quoteVolume=152155.6212901, weightedAverage=3.4E-7]
PoloniexChartData [date=Fri May 27 20:00:00 EDT 2016, high=3.4E-7, low=3.3E-7, open=3.4E-7, close=3.3E-7, volume=0.00406598, quoteVolume=12078.44107744, weightedAverage=3.3E-7]
PoloniexChartData [date=Sat May 28 20:00:00 EDT 2016, high=3.5E-7, low=3.0E-7, open=3.3E-7, close=3.3E-7, volume=0.50772722, quoteVolume=1677801.3275407, weightedAverage=3.0E-7]
PoloniexChartData [date=Sun May 29 20:00:00 EDT 2016, high=3.4E-7, low=3.2E-7, open=3.4E-7, close=3.2E-7, volume=0.01518774, quoteVolume=47026.85260426, weightedAverage=3.2E-7]
PoloniexChartData [date=Mon May 30 20:00:00 EDT 2016, high=3.1E-7, low=3.0E-7, open=3.1E-7, close=3.0E-7, volume=0.05451525, quoteVolume=176543.30952689, weightedAverage=3.0E-7]
